trade_date,period,regime,market_gate,raw_candidates,entry_pass_top10,entry_pass_top20
2012-07-20,pre,BEAR,False,6,0,0
2012-07-23,pre,CRASH,False,10,0,0
2012-07-24,pre,CRASH,False,7,0,0
2012-07-25,pre,CRASH,False,0,0,0
2012-07-26,pre,CRASH,False,5,0,0
2012-07-27,pre,CRASH,False,4,0,0
2012-07-30,pre,CRASH,False,5,0,0
2012-07-31,pre,SIDEWAYS,False,7,0,0
2012-08-01,pre,SIDEWAYS,False,7,0,0
2012-08-02,pre,SIDEWAYS,False,9,0,0
2012-08-03,pre,SIDEWAYS,False,6,1,1
2012-08-06,pre,SIDEWAYS,False,5,0,0
2012-08-07,pre,SIDEWAYS,False,5,0,0
2012-08-08,pre,SIDEWAYS,False,4,0,0
2012-08-09,pre,BULL,True,4,0,0
2012-08-10,pre,BULL,True,8,0,0
2012-08-13,pre,BULL,True,6,1,1
2012-08-14,pre,BULL,True,10,1,1
2012-08-16,pre,BULL,True,9,0,0
2012-08-17,pre,BULL,True,6,0,0
2012-08-20,pre,BULL,True,8,0,0
2012-08-21,pre,BULL,True,11,0,0
2012-08-22,pre,BULL,True,10,0,0
2012-08-23,pre,BULL,True,12,1,1
2012-08-24,pre,BULL,True,4,0,0
2012-08-27,pre,BULL,True,12,0,0
2012-08-28,pre,SIDEWAYS,False,21,0,0
2012-08-29,pre,BULL,True,18,0,1
2012-08-30,pre,SIDEWAYS,False,12,1,1
2012-08-31,pre,SIDEWAYS,False,11,1,1
2012-09-03,pre,SIDEWAYS,False,17,4,4
2012-09-04,pre,SIDEWAYS,False,10,0,0
2012-09-05,pre,SIDEWAYS,False,24,0,0
2012-09-06,pre,SIDEWAYS,False,11,0,0
2012-09-07,pre,BULL,True,12,1,2
2012-09-10,pre,BULL,True,20,0,1
2012-09-11,pre,SIDEWAYS,False,20,0,0
2012-09-12,pre,BULL,True,17,0,0
2012-09-13,pre,BULL,True,16,1,1
2012-09-14,pre,BULL,True,14,0,0
2012-09-17,pre,BULL,True,24,0,0
2012-09-18,pre,BULL,True,23,1,1
2012-09-19,pre,BULL,True,27,0,0
2012-09-20,pre,BULL,True,13,1,1
2012-09-21,pre,BULL,True,25,0,1
2012-09-24,pre,BULL,True,26,0,0
2012-09-25,pre,BULL,True,16,1,1
2012-09-26,pre,BULL,True,11,1,1
2012-09-27,pre,BULL,True,18,0,0
2012-09-28,pre,BULL,True,12,0,0
2012-10-02,pre,BULL,True,7,0,0
2012-10-04,pre,BULL,True,16,0,0
2012-10-05,pre,BULL,True,14,1,1
2012-10-08,pre,BULL,True,23,0,0
2012-10-09,pre,SIDEWAYS,False,18,0,0
2012-10-10,pre,SIDEWAYS,False,18,0,0
2012-10-11,pre,SIDEWAYS,False,12,0,0
2012-10-12,pre,SIDEWAYS,False,21,1,1
2012-10-15,pre,SIDEWAYS,False,10,0,0
2012-10-16,pre,SIDEWAYS,False,38,1,1
2012-10-17,pre,SIDEWAYS,False,11,0,0
2012-10-18,pre,SIDEWAYS,False,6,0,0
2012-10-19,pre,SIDEWAYS,False,29,0,0
2012-10-22,pre,SIDEWAYS,False,28,0,1
2012-10-23,pre,BEAR,False,8,1,1
2012-10-24,pre,BEAR,False,21,0,0
2012-10-25,pre,BEAR,False,8,0,0
2012-10-26,pre,CRASH,False,6,0,0
2012-10-29,pre,CRASH,False,9,0,0
2012-10-30,pre,CRASH,False,14,0,0
2012-10-31,pre,CRASH,False,16,0,0
2012-11-01,pre,CRASH,False,9,0,0
2012-11-02,pre,BEAR,False,8,0,0
2012-11-05,pre,BEAR,False,17,0,1
2012-11-06,pre,BEAR,False,19,0,1
2012-11-07,pre,BEAR,False,16,0,0
2012-11-08,pre,BEAR,False,22,0,0
2012-11-09,pre,BEAR,False,18,0,0
2012-11-12,pre,BEAR,False,21,1,1
2012-11-13,pre,CRASH,False,8,0,0
2012-11-14,pre,CRASH,False,4,0,0
2012-11-15,pre,CRASH,False,10,0,0
2012-11-16,pre,CRASH,False,6,0,0
2012-11-19,pre,CRASH,False,18,0,0
2012-11-20,pre,CRASH,False,4,0,0
2012-11-21,pre,CRASH,False,7,0,0
2012-11-22,pre,CRASH,False,11,0,0
2012-11-23,pre,CRASH,False,18,0,0
2012-11-26,pre,CRASH,False,8,0,0
2012-11-27,pre,CRASH,False,10,0,0
2012-11-28,pre,CRASH,False,16,0,0
2012-11-29,pre,CRASH,False,7,0,0
2012-11-30,pre,CRASH,False,11,0,0
2012-12-03,pre,SIDEWAYS,False,6,0,0
2012-12-04,pre,BULL,True,14,0,0
2012-12-05,pre,SIDEWAYS,False,6,1,1
2012-12-06,pre,SIDEWAYS,False,5,1,1
2012-12-07,pre,SIDEWAYS,False,7,0,0
2012-12-10,pre,SIDEWAYS,False,9,0,0
2012-12-11,pre,SIDEWAYS,False,3,0,0
2012-12-12,pre,SIDEWAYS,False,10,0,0
2012-12-13,pre,SIDEWAYS,False,7,0,0
2012-12-14,pre,SIDEWAYS,False,1,0,0
2012-12-17,pre,SIDEWAYS,False,6,0,0
2012-12-18,pre,SIDEWAYS,False,5,0,0
2012-12-20,pre,SIDEWAYS,False,1,1,1
2012-12-21,pre,SIDEWAYS,False,3,0,0
2012-12-24,pre,SIDEWAYS,False,3,0,0
2012-12-26,pre,SIDEWAYS,False,1,0,0
2012-12-27,pre,BULL,True,3,0,0
2012-12-28,pre,BULL,True,4,0,0
2013-01-02,pre,BULL,True,7,0,0
2013-01-03,pre,BULL,True,2,0,0
2013-01-04,pre,BULL,True,3,0,0
2013-01-07,pre,BULL,True,1,0,0
2013-01-08,pre,BULL,True,3,0,0
2013-01-09,pre,BULL,True,4,0,0
2013-01-10,pre,BULL,True,3,0,0
2013-01-11,pre,BULL,True,6,0,0
2013-01-14,pre,BULL,True,5,0,0
2013-01-15,pre,SIDEWAYS,False,5,0,0
2013-01-16,pre,SIDEWAYS,False,3,1,1
2013-01-17,pre,SIDEWAYS,False,7,0,0
2013-01-18,pre,SIDEWAYS,False,11,0,0
2013-01-21,pre,SIDEWAYS,False,9,0,0
2013-01-22,pre,BULL,True,13,0,0
2013-01-23,pre,SIDEWAYS,False,8,0,0
2013-01-24,pre,SIDEWAYS,False,3,0,0
2013-01-25,pre,BEAR,False,10,0,0
2013-01-28,pre,BEAR,False,11,0,0
2013-01-29,pre,SIDEWAYS,False,8,1,1
2013-01-30,pre,SIDEWAYS,False,5,0,0
2013-01-31,pre,SIDEWAYS,False,8,0,0
2013-02-01,pre,SIDEWAYS,False,3,0,0
2013-02-04,pre,BEAR,False,3,0,0
2013-02-05,pre,CRASH,False,8,1,1
2013-02-06,pre,BEAR,False,7,0,0
2013-02-07,pre,BEAR,False,4,0,0
2013-02-08,pre,BEAR,False,3,0,0
2013-02-12,pre,BEAR,False,7,0,0
2013-02-13,pre,BULL,True,10,1,1
2013-02-14,pre,BULL,True,8,0,0
2013-02-15,pre,BULL,True,5,0,0
2013-02-18,pre,BULL,True,9,0,0
2013-02-19,pre,BULL,True,7,0,0
2013-02-20,pre,BULL,True,12,0,0
2013-02-21,pre,BULL,True,9,0,0
2013-02-22,pre,BULL,True,9,1,1
2013-02-25,pre,BULL,True,8,0,0
2013-02-26,pre,BULL,True,15,0,0
2013-02-27,pre,BULL,True,13,1,1
2013-02-28,pre,BULL,True,11,1,1
2013-03-04,pre,BULL,True,16,0,0
2013-03-05,pre,BULL,True,12,1,1
2013-03-06,pre,BULL,True,13,0,0
2013-03-07,pre,BULL,True,14,1,1
2013-03-08,pre,BULL,True,11,0,0
2013-03-11,pre,BULL,True,21,0,0
2013-03-12,pre,SIDEWAYS,False,10,0,0
2013-03-13,pre,SIDEWAYS,False,15,0,1
2013-03-14,pre,SIDEWAYS,False,25,0,0
2013-03-15,pre,BEAR,False,14,1,1
2013-03-18,pre,BEAR,False,2,0,0
2013-03-19,pre,BEAR,False,18,1,1
2013-03-20,pre,BEAR,False,10,0,0
2013-03-21,pre,BEAR,False,9,1,1
2013-03-22,pre,BEAR,False,16,0,0
2013-03-25,pre,BEAR,False,13,0,0
2013-03-26,pre,BEAR,False,14,0,0
2013-03-27,pre,BULL,True,12,0,0
2013-03-28,pre,BULL,True,12,0,0
2013-03-29,pre,BULL,True,12,0,0
2013-04-01,pre,BULL,True,13,0,0
2013-04-02,pre,SIDEWAYS,False,12,0,0
2013-04-03,pre,BEAR,False,15,0,1
2013-04-04,pre,BEAR,False,20,0,0
2013-04-05,pre,BEAR,False,6,0,0
2013-04-08,pre,BEAR,False,3,0,0
2013-04-09,pre,BEAR,False,11,1,1
2013-04-10,pre,BEAR,False,17,0,0
2013-04-11,pre,BEAR,False,12,0,0
2013-04-12,pre,BEAR,False,8,0,0
2013-04-15,pre,BEAR,False,19,0,1
2013-04-16,pre,BEAR,False,20,0,0
2013-04-17,pre,BEAR,False,13,1,1
2013-04-18,pre,BEAR,False,8,1,1
2013-04-19,pre,BEAR,False,11,0,0
2013-04-22,pre,BEAR,False,22,0,0
2013-04-23,pre,BEAR,False,14,0,0
2013-04-24,pre,BEAR,False,15,0,0
2013-04-25,pre,BULL,True,12,0,0
2013-04-26,pre,BULL,True,13,1,1
2013-04-29,pre,BULL,True,17,0,0
2013-04-30,pre,BULL,True,25,0,0
2013-05-02,pre,BULL,True,19,0,0
2013-05-03,pre,BULL,True,38,0,0
2013-05-06,pre,BULL,True,18,0,0
2013-05-07,pre,BULL,True,38,0,0
2013-05-08,pre,BULL,True,17,0,0
2013-05-09,pre,BULL,True,14,0,0
2013-05-10,pre,BULL,True,13,0,0
2013-05-13,pre,BULL,True,14,2,2
2013-05-14,pre,BEAR,False,16,1,2
2013-05-15,pre,BULL,True,16,0,0
2013-05-16,pre,BULL,True,14,0,1
2013-05-20,pre,BULL,True,18,0,0
2013-05-21,pre,BULL,True,19,0,0
2013-05-22,pre,BULL,True,18,0,0
2013-05-23,pre,BULL,True,8,0,0
2013-05-24,pre,BULL,True,18,0,0
2013-05-27,pre,BULL,True,22,0,0
2013-05-28,pre,BULL,True,20,0,0
2013-05-29,pre,BULL,True,11,0,0
2013-05-30,pre,BULL,True,12,0,0
2013-05-31,pre,BULL,True,16,0,0
2013-06-03,pre,SIDEWAYS,False,8,0,0
2013-06-04,pre,SIDEWAYS,False,11,1,1
2013-06-05,pre,CRASH,False,9,1,1
2013-06-07,pre,CRASH,False,7,0,0
2013-06-10,pre,CRASH,False,8,0,0
2013-06-11,pre,CRASH,False,13,1,1
2013-06-12,pre,CRASH,False,5,0,0
2013-06-13,pre,CRASH,False,3,0,0
2013-06-14,pre,CRASH,False,2,0,0
2013-06-17,pre,CRASH,False,6,0,0
2013-06-18,pre,CRASH,False,7,0,0
2013-06-19,pre,CRASH,False,2,0,0
2013-06-20,pre,CRASH,False,5,0,0
2013-06-21,pre,CRASH,False,9,0,0
2013-06-24,pre,CRASH,False,2,0,0
2013-06-25,pre,CRASH,False,1,0,0
2013-06-26,pre,CRASH,False,3,0,0
2013-06-27,pre,CRASH,False,3,0,0
2013-06-28,pre,CRASH,False,3,0,0
2013-07-01,pre,CRASH,False,3,0,0
2013-07-02,pre,CRASH,False,1,0,0
2013-07-03,pre,CRASH,False,2,0,0
2013-07-04,pre,CRASH,False,3,0,0
2013-07-05,pre,CRASH,False,5,0,0
2013-07-08,pre,CRASH,False,1,0,0
2013-07-09,pre,CRASH,False,6,0,0
2013-07-10,pre,CRASH,False,4,0,0
2013-07-11,pre,BULL,True,1,0,0
2013-07-12,pre,BULL,True,5,0,0
2013-07-15,pre,BULL,True,10,0,0
2013-07-16,pre,BULL,True,9,1,1
2013-07-17,pre,BULL,True,8,0,0
2013-07-18,pre,BULL,True,8,1,1
2013-07-19,pre,BULL,True,8,0,0
2013-07-22,pre,BULL,True,6,0,0
2013-07-23,pre,BULL,True,8,0,0
2013-07-24,pre,BULL,True,6,0,0
2013-07-25,pre,BULL,True,3,0,0
2013-07-26,pre,BULL,True,4,0,0
2013-07-29,pre,BULL,True,2,0,0
2013-07-30,pre,BULL,True,7,0,0
2013-07-31,pre,BULL,True,7,0,0
2013-08-01,pre,BULL,True,4,0,0
2013-08-02,pre,BULL,True,4,0,0
2013-08-05,pre,BULL,True,5,0,0
2013-08-06,pre,BULL,True,7,1,1
2013-08-07,pre,BEAR,False,3,0,0
2013-08-08,pre,BEAR,False,3,0,0
2013-08-09,pre,BEAR,False,5,0,0
2013-08-12,pre,BEAR,False,5,0,0
2013-08-13,pre,BULL,True,11,0,0
2013-08-14,pre,BULL,True,6,0,0
2013-08-16,pre,SIDEWAYS,False,4,0,0
2013-08-19,pre,BULL,True,5,1,1
2013-08-20,pre,CRASH,False,3,0,0
2013-08-21,pre,CRASH,False,4,0,0
2013-08-22,pre,CRASH,False,3,0,0
2013-08-23,pre,CRASH,False,5,1,1
2013-08-26,pre,SIDEWAYS,False,5,1,1
2013-08-27,pre,SIDEWAYS,False,2,0,0
2013-08-28,pre,SIDEWAYS,False,1,0,0
2013-08-29,pre,SIDEWAYS,False,3,0,0
2013-08-30,pre,SIDEWAYS,False,2,0,0
2013-09-02,pre,SIDEWAYS,False,4,1,1
2013-09-03,pre,SIDEWAYS,False,2,0,0
2013-09-04,pre,SIDEWAYS,False,5,0,0
2013-09-05,pre,SIDEWAYS,False,3,0,0
2013-09-06,pre,SIDEWAYS,False,7,0,0
2013-09-09,pre,SIDEWAYS,False,2,0,0
2013-09-10,pre,SIDEWAYS,False,5,0,0
2013-09-11,pre,BULL,True,4,0,0
2013-09-12,pre,BULL,True,5,0,0
2013-09-13,pre,BULL,True,0,0,0
2013-09-16,pre,BULL,True,1,0,0
2013-09-17,pre,BULL,True,8,0,0
2013-09-23,pre,BULL,True,7,0,0
2013-09-24,pre,BULL,True,9,0,0
2013-09-25,pre,BULL,True,7,0,0
2013-09-26,pre,BULL,True,5,2,2
2013-09-27,pre,BULL,True,3,0,0
2013-09-30,pre,BULL,True,2,0,0
2013-10-01,pre,BULL,True,6,0,0
2013-10-02,pre,BULL,True,2,0,0
2013-10-04,pre,BULL,True,7,1,1
2013-10-07,pre,SIDEWAYS,False,5,0,0
2013-10-08,pre,SIDEWAYS,False,3,0,0
2013-10-10,pre,BULL,True,4,0,0
2013-10-11,pre,BULL,True,1,0,0
2013-10-14,pre,BULL,True,9,0,0
2013-10-15,pre,BULL,True,4,0,0
2013-10-16,pre,SIDEWAYS,False,5,0,0
2013-10-17,pre,SIDEWAYS,False,5,0,0
2013-10-18,pre,SIDEWAYS,False,10,0,0
2013-10-21,pre,SIDEWAYS,False,7,0,0
2013-10-22,pre,BULL,True,3,1,1
2013-10-23,pre,SIDEWAYS,False,3,0,0
2013-10-24,pre,BULL,True,10,0,0
2013-10-25,pre,BULL,True,3,0,0
2013-10-28,pre,BULL,True,3,0,0
2013-10-29,pre,BULL,True,5,0,0
2013-10-30,pre,BULL,True,6,0,0
2013-10-31,pre,SIDEWAYS,False,2,0,0
2013-11-01,pre,BULL,True,8,0,0
2013-11-04,pre,SIDEWAYS,False,4,0,0
2013-11-05,pre,SIDEWAYS,False,4,1,1
2013-11-06,pre,SIDEWAYS,False,1,0,0
2013-11-07,pre,SIDEWAYS,False,2,0,0
2013-11-08,pre,SIDEWAYS,False,2,0,0
2013-11-11,pre,CRASH,False,1,0,0
2013-11-12,pre,SIDEWAYS,False,6,0,0
2013-11-13,pre,CRASH,False,0,0,0
2013-11-14,pre,CRASH,False,2,0,0
2013-11-15,pre,SIDEWAYS,False,0,0,0
2013-11-18,pre,SIDEWAYS,False,1,0,0
2013-11-19,pre,SIDEWAYS,False,3,0,0
2013-11-20,pre,SIDEWAYS,False,0,0,0
