variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60,regime,breadth_ma20,breadth_ma60,volatility_20,liquidity_trend
baseline_low_touch,pre,2012-06-12,044380,주연테크,2012-06-19,2012-06-20,2012-06-27,0.018021021021021023,TRAIL,0.39078498293515357,0.3378995433789954,BEAR,0.5023847376788553,0.23317435082140964,0.019940816979139,-0.09484872772738795
baseline_low_touch,pre,2012-08-14,038290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2540834845735027,0.3775,BULL,0.706441393875396,0.5786694825765576,0.012991192117221901,0.0071786629917860445
baseline_low_touch,pre,2013-02-22,048830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_LOW_TOUCH,0.39855072463768115,0.7380352644836272,BULL,0.6484623541887593,0.6071049840933191,0.007196513391659909,0.0982482919728569
baseline_low_touch,pre,2013-07-18,006840,AK홀딩스,2013-07-25,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.2534142640364188,0.49772727272727274,SIDEWAYS,0.734163508391987,0.32918245804006496,0.019922556832308043,-0.030565819450855902
baseline_low_touch,pre,2013-09-26,029480,케이디씨,2013-10-04,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.46264367816091956,0.359375,SIDEWAYS,0.5730337078651685,0.4922418405564473,0.008240830250115504,-0.07098780684615669
baseline_low_touch,pre,2014-12-09,900070,글로벌에스엠,2014-12-16,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_LOW_TOUCH,0.27601809954751133,0.33454106280193235,SIDEWAYS,0.4392177589852008,0.3514799154334038,0.007708959192070745,-0.0499462176120653
baseline_low_touch,pre,2015-01-09,005110,한창,2015-01-16,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,0.37569444444444444,1.453151618398637,BULL,0.5852895148669797,0.4371413667188315,0.009043911113969889,0.14661620909630013
baseline_low_touch,pre,2015-02-06,028300,에이치엘비,2015-02-13,2015-02-16,2015-03-05,-0.123,STOP,0.43308823529411766,0.5906432748538012,BULL,0.7046875,0.6833333333333333,0.007173197655974677,0.23255790757740158
baseline_low_touch,pre,2015-03-25,099830,씨그널정보통신,2015-04-01,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.3501577287066246,1.5079113924050633,BULL,0.63003663003663,0.7964416535845107,0.008048243131791123,0.0703958094840833
baseline_low_touch,pre,2015-04-29,049720,고려신용정보,2015-05-08,2015-05-11,2015-05-29,-0.123,STOP,0.36585365853658536,1.4477611940298507,BULL,0.48995771670190275,0.7383720930232558,0.008982403109786503,-0.03406687403250053
baseline_low_touch,pre,2016-03-15,043710,로켓모바일,2016-03-22,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.43091655266757867,1.3169572107765453,BULL,0.7084779375309866,0.5726326227069906,0.009710009050164156,-0.09974880485720605
baseline_low_touch,pre,2016-09-23,137940,넥스트아이,2016-09-30,2016-10-04,2016-10-28,-0.123,STOP,0.26991150442477874,0.608540925266904,SIDEWAYS,0.6270190895741556,0.46304454233969655,0.010200561074399742,0.06601871016904304
baseline_low_touch,pre,2016-12-12,025820,이구산업,2016-12-19,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.475,0.3231552162849873,SIDEWAYS,0.5134874759152216,0.2837186897880539,0.011820593387992077,-0.004053047611814464
baseline_low_touch,pre,2017-02-23,008700,아남전자,2017-03-03,2017-03-06,2017-04-04,1.1008251366120219,TRAIL,0.371875,0.4479638009049774,SIDEWAYS,0.5283926852743022,0.4773820981713186,0.00653255364756346,-0.01773385243847747
baseline_low_touch,pre,2017-11-16,007390,네이처셀,2017-11-23,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,0.4294117647058823,0.4088397790055249,BULL,0.5953510436432637,0.523719165085389,0.0095000738845666,0.24712930406912226
baseline_low_touch,pre,2018-01-16,086890,이수앱지스,2018-01-23,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.3703056768558952,0.6937869822485208,BULL,0.5278427702386523,0.4735610669162377,0.016318832974292725,0.21762712267247108
baseline_low_touch,pre,2018-04-20,028300,에이치엘비,2018-04-27,2018-04-30,2018-05-08,-0.123,STOP,0.4836795252225519,0.9940828402366864,BULL,0.7071327350023618,0.5262163438828531,0.010046209481617059,0.061903603215289316
baseline_low_touch,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-11,2018-12-12,2018-12-13,-0.063,EARLY_FAIL_LOW_TOUCH,0.5032894736842105,0.7531718569780853,BULL,0.6932656826568265,0.31226937269372695,0.012749478601762185,0.02505336824333715
baseline_low_touch,pre,2019-04-11,043370,평화정공,2019-04-18,2019-04-19,2019-04-23,-0.063,EARLY_FAIL_LOW_TOUCH,0.2542056074766355,0.6212121212121212,BULL,0.7700460829493088,0.6327188940092165,0.009688869645761926,0.10875021725587097
baseline_low_touch,pre,2020-01-17,066310,큐에스아이,2020-01-28,2020-01-29,2020-02-27,-0.123,STOP,0.3588039867109635,0.6323210412147505,BULL,0.6487566607460036,0.5670515097690941,0.01546077353031591,0.05340212487892382
baseline_low_touch,pre,2020-04-07,270870,뉴트리,2020-04-14,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.41732283464566927,0.3368421052631579,BEAR,0.9657657657657658,0.18558558558558558,0.054849859685102816,0.2261439840678945
baseline_low_touch,pre,2020-08-03,006120,SK디스커버리,2020-08-10,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.4533333333333333,0.822429906542056,BULL,0.5334522747546833,0.5847457627118644,0.00848676228141003,0.1391347235808298
baseline_low_touch,pre,2020-08-25,104460,디와이피엔에프,2020-09-01,2020-09-02,2020-09-22,-0.123,STOP,0.4180602006688963,0.5193089430894309,BULL,0.3597154290795909,0.47398843930635837,0.018203739444511865,-0.0529011843581253
baseline_low_touch,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-07,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.3522727272727273,0.375,BULL,0.6453309951775537,0.6633055677334503,0.010192869214398177,0.18392747053946357
baseline_low_touch,pre,2020-12-21,001120,LG상사,2020-12-29,2020-12-30,2021-02-16,0.10742944785276073,MAX,0.35671342685370744,0.589171974522293,BULL,0.6021786492374728,0.725925925925926,0.009691545331199685,0.09169311055931662
baseline_low_touch,pre,2021-06-17,036170,클라우드에어,2021-06-24,2021-06-25,2021-06-29,-0.063,EARLY_FAIL_LOW_TOUCH,0.4474187380497132,0.9961832061068703,BULL,0.6573516766981943,0.67798796216681,0.0071017757301016365,-0.028887078911914665
baseline_low_touch,train,2022-11-14,004360,세방,2022-11-21,2022-11-22,2023-02-17,1.095434004474273,MAX,0.2645631067961165,0.5725190839694656,BULL,0.855640921957137,0.40598463404771534,0.013338411419235379,0.25529323371522294
baseline_low_touch,train,2023-03-24,009730,코센,2023-03-31,2023-04-03,2023-05-04,0.6176896551724138,TRAIL,0.5259896729776248,1.0974729241877257,BULL,0.3060327606871754,0.3691570115860967,0.015880968042452908,0.1314449410912033
baseline_low_touch,train,2023-05-23,336570,원텍,2023-05-31,2023-06-01,2023-08-28,0.6644816625916871,MAX,0.2851758793969849,0.4038800705467372,SIDEWAYS,0.6965931863727455,0.5434869739478958,0.012129213897280266,-0.1132861162073362
baseline_low_touch,train,2024-05-02,175140,휴먼테크놀로지,2024-05-10,2024-05-13,2024-06-26,0.07497537619699042,MAX,0.3782608695652174,0.38276553106212424,SIDEWAYS,0.6139116842516608,0.38061742868307935,0.01277728095336483,-0.14254728262034522
baseline_low_touch,train,2024-12-12,285490,노바텍,2024-12-19,2024-12-20,2024-12-26,-0.063,EARLY_FAIL_LOW_TOUCH,0.3157152924594785,0.21385799828913601,SIDEWAYS,0.4433890577507599,0.2712765957446808,0.021887803592717282,0.23263902574793516
baseline_low_touch,train,2025-02-10,036530,SNT홀딩스,2025-02-17,2025-02-18,2025-04-02,0.16164471403812825,MAX,0.2667844522968198,0.23311546840958605,BULL,0.45690628528415506,0.508468197214904,0.012940142904364065,0.20993756952091913
baseline_low_touch,train,2025-05-09,082270,젬백스,2025-05-16,2025-05-19,2025-07-02,0.6749431664411367,MAX,0.30303030303030304,0.6844547563805105,BULL,0.6738391845979615,0.59041147602869,0.017850077550337386,0.09992735095329186
baseline_low_touch,post,2025-09-17,089890,코세스,2025-09-24,2025-09-25,2025-09-30,-0.063,EARLY_FAIL_LOW_TOUCH,0.28888888888888886,0.9328859060402684,BULL,0.6509966152688981,0.4633320797292215,0.008433420545529223,0.10207891142114622
baseline_low_touch,post,2025-10-15,089890,코세스,2025-10-22,2025-10-23,2025-11-25,0.005032128514056224,TRAIL,0.49714285714285716,1.505966587112172,BULL,0.3760330578512397,0.3918106686701728,0.01277778310725798,0.0370422092752809
best_ef_close6,pre,2012-06-12,044380,주연테크,2012-06-19,2012-06-20,2012-06-27,0.018021021021021023,TRAIL,0.39078498293515357,0.3378995433789954,BEAR,0.5023847376788553,0.23317435082140964,0.019940816979139,-0.09484872772738795
best_ef_close6,pre,2012-08-14,038290,마크로젠,2012-08-22,2012-08-23,2012-10-08,0.15869544740973313,MAX,0.2540834845735027,0.3775,BULL,0.706441393875396,0.5786694825765576,0.012991192117221901,0.0071786629917860445
best_ef_close6,pre,2013-02-22,048830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE,0.39855072463768115,0.7380352644836272,BULL,0.6484623541887593,0.6071049840933191,0.007196513391659909,0.0982482919728569
best_ef_close6,pre,2013-07-18,006840,AK홀딩스,2013-07-25,2013-07-26,2013-09-09,0.1347840909090909,MAX,0.2534142640364188,0.49772727272727274,SIDEWAYS,0.734163508391987,0.32918245804006496,0.019922556832308043,-0.030565819450855902
best_ef_close6,pre,2013-09-26,029480,케이디씨,2013-10-04,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.46264367816091956,0.359375,SIDEWAYS,0.5730337078651685,0.4922418405564473,0.008240830250115504,-0.07098780684615669
best_ef_close6,pre,2014-12-09,900070,글로벌에스엠,2014-12-16,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_CLOSE,0.27601809954751133,0.33454106280193235,SIDEWAYS,0.4392177589852008,0.3514799154334038,0.007708959192070745,-0.0499462176120653
best_ef_close6,pre,2015-01-09,005110,한창,2015-01-16,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,0.37569444444444444,1.453151618398637,BULL,0.5852895148669797,0.4371413667188315,0.009043911113969889,0.14661620909630013
best_ef_close6,pre,2015-02-06,028300,에이치엘비,2015-02-13,2015-02-16,2015-03-05,-0.123,STOP,0.43308823529411766,0.5906432748538012,BULL,0.7046875,0.6833333333333333,0.007173197655974677,0.23255790757740158
best_ef_close6,pre,2015-03-25,099830,씨그널정보통신,2015-04-01,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,0.3501577287066246,1.5079113924050633,BULL,0.63003663003663,0.7964416535845107,0.008048243131791123,0.0703958094840833
best_ef_close6,pre,2015-04-29,049720,고려신용정보,2015-05-08,2015-05-11,2015-05-29,-0.123,STOP,0.36585365853658536,1.4477611940298507,BULL,0.48995771670190275,0.7383720930232558,0.008982403109786503,-0.03406687403250053
best_ef_close6,pre,2016-03-15,043710,로켓모바일,2016-03-22,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.43091655266757867,1.3169572107765453,BULL,0.7084779375309866,0.5726326227069906,0.009710009050164156,-0.09974880485720605
best_ef_close6,pre,2016-09-23,137940,넥스트아이,2016-09-30,2016-10-04,2016-10-28,-0.123,STOP,0.26991150442477874,0.608540925266904,SIDEWAYS,0.6270190895741556,0.46304454233969655,0.010200561074399742,0.06601871016904304
