variant,period,regime,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,entry_candle_loc,entry_upper_shadow,entry_body_ret,entry_ma20_dist,entry_vol_exp,entry_trade_amount,next_body_ret,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_60d,max_60d,min_60d
iter01_relaxed_baseline,pre,BULL,2012-09-26,123330,제닉,2012-10-05,2012-10-08,2012-10-16,-0.123,-12300000.0,STOP,0.323943661971831,0.25048923679060664,0.9333333333333333,0.06666666666666667,0.04032258064516129,0.08112638283607107,0.9738086806160352,11413146000.0,0.026153846153846153,-0.04923076923076923,0.033846153846153845,-0.05076923076923077,-0.07692307692307693,0.033846153846153845,-0.19384615384615383,-0.04923076923076923,0.033846153846153845,-0.19384615384615383,-0.45692307692307693,0.033846153846153845,-0.46923076923076923
iter01_relaxed_baseline,pre,BULL,2012-10-08,026040,로만손,2012-10-15,2012-10-16,2012-10-18,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.257843137254902,0.5156017830609212,1.0,0.0,0.12195121951219512,0.4243690973834959,4.183544531700991,28137951600.0,0.00749063670411985,-0.1348314606741573,0.13108614232209737,-0.20599250936329588,-0.20599250936329588,0.13108614232209737,-0.25842696629213485,-0.18726591760299627,0.13108614232209737,-0.25842696629213485,-0.1760299625468165,0.13108614232209737,-0.3153558052434457
iter01_relaxed_baseline,pre,BULL,2013-02-14,061040,알에프텍,2013-02-21,2013-02-22,2013-02-26,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.34574468085106386,0.4745098039215686,1.0,0.0,0.013054830287206266,0.1373296204015829,0.5164515213015578,8589660400.0,0.002583979328165375,-0.056847545219638244,0.012919896640826873,-0.08785529715762273,-0.08010335917312661,0.03875968992248062,-0.09819121447028424,-0.11886304909560723,0.03875968992248062,-0.1731266149870801,-0.17054263565891473,0.03875968992248062,-0.2041343669250646
iter01_relaxed_baseline,pre,BULL,2013-02-22,048830,엔피케이,2013-03-04,2013-03-05,2013-03-07,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.39855072463768115,0.7380352644836272,1.0,0.0,0.050790067720090294,0.572767970267759,1.7537271201055136,13881149485.0,0.014656144306651634,-0.17925591882750846,0.12063134160090191,-0.19503945885005636,-0.13979706877113868,0.12063134160090191,-0.25140924464487036,-0.2919954904171364,0.12063134160090191,-0.3055242390078918,-0.3134160090191657,0.12063134160090191,-0.4047350620067644
iter01_relaxed_baseline,pre,BULL,2013-02-28,025880,케이씨피드,2013-03-08,2013-03-11,2013-03-14,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.29640287769784174,0.6992665036674817,1.0,0.0,0.06683804627249357,0.15125875580830847,0.9510103040211788,5352595300.0,0.125,-0.09669811320754718,0.16745283018867924,-0.14386792452830188,-0.125,0.16745283018867924,-0.15683962264150944,-0.29245283018867924,0.16745283018867924,-0.29952830188679247,-0.3443396226415094,0.16745283018867924,-0.3490566037735849
iter01_relaxed_baseline,pre,BULL,2013-03-06,038950,파인디지털,2013-03-13,2013-03-14,2013-04-25,0.016801980198019803,1680198.0198019804,MAX,0.2723535457348407,0.47424242424242424,0.9361702127659575,0.06382978723404255,0.036458333333333336,0.04030529562444456,1.362110499335876,5267132000.0,0.0594059405940594,0.024752475247524754,0.0891089108910891,-0.009900990099009901,0.0297029702970297,0.0891089108910891,-0.009900990099009901,-0.01485148514851485,0.0891089108910891,-0.0891089108910891,-0.22574257425742575,0.12871287128712872,-0.2712871287128713
iter01_relaxed_baseline,pre,BULL,2013-03-07,049180,코리아본뱅크,2013-03-14,2013-03-15,2013-03-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.30185185185185187,0.44,0.9333333333333333,0.06666666666666667,0.01282051282051282,0.181337852656764,0.834643004953899,6847377930.0,0.021367521367521368,-0.07264957264957266,0.042735042735042736,-0.10256410256410256,-0.09829059829059829,0.042735042735042736,-0.15128205128205127,3.9572649572649574,3.9572649572649574,-0.21794871794871795,2.8632478632478633,5.042735042735043,-0.21794871794871795
iter01_relaxed_baseline,pre,BULL,2013-03-27,060590,씨티씨바이오,2013-04-03,2013-04-04,2013-05-14,-0.123,-12300000.0,STOP,0.34923076923076923,0.4840182648401826,0.9512195121951219,0.04878048780487805,0.060092449922958396,0.16937197246536925,1.128824829524203,28228640000.0,0.008823529411764706,-0.03529411764705882,0.07205882352941176,-0.11470588235294117,0.06764705882352941,0.07205882352941176,-0.11470588235294117,0.0058823529411764705,0.08529411764705883,-0.11470588235294117,-0.24705882352941178,0.08529411764705883,-0.375
iter01_relaxed_baseline,pre,BULL,2013-04-26,950110,SBI액시즈,2013-05-06,2013-05-07,2013-06-04,-0.069006600660066,-6900660.0660066,TRAIL,0.3941368078175896,0.584516129032258,0.9714285714285714,0.02857142857142857,0.039655172413793106,0.2654774396642183,1.2395212926298886,5344606080.0,0.04950495049504951,0.16666666666666666,0.22442244224422442,-0.026402640264026403,0.0594059405940594,0.22442244224422442,-0.041254125412541254,-0.12376237623762376,0.22442244224422442,-0.1353135313531353,-0.3341584158415842,0.22442244224422442,-0.34075907590759075
iter01_relaxed_baseline,pre,BULL,2013-05-13,002780,진흥기업,2013-05-21,2013-05-22,2013-05-23,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2631578947368421,1.2810734463276836,1.0,0.0,0.1780821917808219,0.41961043248596896,4.463397626602849,6333229200.0,0.03296703296703297,0.5010989010989011,0.6131868131868132,-0.07252747252747253,0.23076923076923078,0.6131868131868132,-0.07252747252747253,0.0967032967032967,0.6131868131868132,-0.08131868131868132,-0.06593406593406594,0.6131868131868132,-0.08791208791208792
