variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60,raw_ret,regime,entry_ma20_dist,entry_next_body,policy,risk_budget
ef_close6_cond_ext60,pre,2015-04-29,49720,고려신용정보,2015-05-08,2015-05-11,2015-05-29,-0.123,STOP,0.3658536585365853,1.4477611940298507,-0.123,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2016-03-15,43710,로켓모바일,2016-03-22,2016-03-23,2016-04-11,0.4328974358974359,TRAIL,0.4309165526675786,1.3169572107765453,0.4328974358974359,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2016-09-23,137940,넥스트아이,2016-09-30,2016-10-04,2016-10-28,-0.123,STOP,0.2699115044247787,0.608540925266904,-0.123,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2016-12-12,25820,이구산업,2016-12-19,2016-12-20,2017-02-03,0.152688622754491,MAX,0.475,0.3231552162849873,0.152688622754491,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2017-02-23,8700,아남전자,2017-03-03,2017-03-06,2017-04-04,1.100825136612022,TRAIL,0.371875,0.4479638009049774,1.100825136612022,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2017-11-16,7390,네이처셀,2017-11-23,2017-11-24,2017-12-08,0.3160661478599221,TRAIL,0.4294117647058823,0.4088397790055249,0.3160661478599221,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2018-01-16,86890,이수앱지스,2018-01-23,2018-01-24,2018-02-07,-0.0520566037735849,TRAIL,0.3703056768558952,0.6937869822485208,-0.0520566037735849,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2018-04-20,28300,에이치엘비,2018-04-27,2018-04-30,2018-05-08,-0.123,STOP,0.4836795252225519,0.9940828402366864,-0.123,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-11,2018-12-12,2018-12-17,-0.063,EARLY_FAIL_CLOSE,0.5032894736842105,0.7531718569780853,-0.063,BULL,0.0,0.0,router_strict_sideways,1.0
ef_close6_cond_ext60,pre,2019-04-11,43370,평화정공,2019-04-18,2019-04-19,2019-04-26,-0.123,STOP,0.2542056074766355,0.6212121212121212,-0.123,BULL,0.0,0.0,router_strict_sideways,1.0
