period,regime,trade_date,rank_on_day,raw_count_on_day,asset_code,asset_name,close_price,score,range20,ret60,ret20,ma60_dist,candle_loc,upper_shadow,body_ret,vol_exp,trade_amount,close_3d,max_3d,min_3d,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_40d,max_40d,min_40d,close_60d,max_60d,min_60d,winner_20,winner_50,early_loser,failed_20
pre,SIDEWAYS,2012-04-04,1,6,004910,조광페인트,12650.0,3.0505037664072896,0.5375494071146245,2.07411907654921,0.6688654353562006,0.438835282743455,1.0,0.0,0.04979253112033195,1.6878431619268905,62580524050.0,-0.33754940711462456,0.01976284584980248,-0.33754940711462456,-0.35494071146245054,0.01976284584980248,-0.35494071146245054,-0.31225296442687744,0.01976284584980248,-0.38181818181818183,-0.22924901185770752,0.01976284584980248,-0.38181818181818183,-0.308300395256917,0.01976284584980248,-0.38181818181818183,-0.36363636363636365,0.01976284584980248,-0.41422924901185776,False,False,True,True
pre,SIDEWAYS,2012-04-04,2,6,012160,영흥철강,2470.0,1.8458039834468534,0.39068825910931176,0.976,0.48348348348348347,0.47911572433754174,1.0,0.0,0.14351851851851852,2.083164773470207,68077520030.0,-0.26113360323886636,0.04251012145748989,-0.26113360323886636,-0.21457489878542513,0.04251012145748989,-0.3522267206477733,-0.09311740890688258,0.04251012145748989,-0.3522267206477733,0.14574898785425106,0.2651821862348178,-0.3522267206477733,0.022267206477732726,0.2651821862348178,-0.3522267206477733,-0.046558704453441346,0.2651821862348178,-0.3522267206477733,True,False,True,False
pre,SIDEWAYS,2012-04-04,3,6,007120,유니모씨앤씨,1130.0,1.7175664489660076,0.3769911504424779,0.8616144975288303,0.27539503386004516,0.4789608009946994,0.6666666666666666,0.05555555555555555,-0.021645021645021644,1.6514603985853624,2507587520.0,-0.03539823008849563,0.022123893805309658,-0.15929203539823011,-0.18230088495575225,0.10619469026548667,-0.21238938053097345,-0.18495575221238936,0.10619469026548667,-0.3008849557522124,-0.1991150442477876,0.10619469026548667,-0.3008849557522124,-0.2831858407079646,0.10619469026548667,-0.3017699115044248,-0.18849557522123894,0.10619469026548667,-0.3017699115044248,False,False,True,False
pre,SIDEWAYS,2012-04-04,4,6,093320,케이아이엔엑스,16700.0,1.3296192074693263,0.5065868263473053,0.48444444444444446,0.6057692307692307,0.3385879366775766,1.0,0.0,0.012121212121212121,1.6425273135069254,30353385600.0,-0.21556886227544914,-0.0029940119760478723,-0.23353293413173648,-0.27544910179640714,-0.0029940119760478723,-0.3143712574850299,-0.17664670658682635,-0.0029940119760478723,-0.3143712574850299,-0.2574850299401198,-0.0029940119760478723,-0.3562874251497006,-0.4395209580838323,-0.0029940119760478723,-0.4497005988023952,-0.2305389221556886,-0.0029940119760478723,-0.4497005988023952,False,False,True,True
pre,SIDEWAYS,2012-04-04,5,6,066310,큐에스아이,8280.0,0.9521811247277179,0.32608695652173914,0.3463414634146341,0.38,0.2797527047913447,0.9347826086956522,0.06521739130434782,0.02096177558569667,0.7119614125062935,2464070040.0,-0.10144927536231885,0.049516908212560384,-0.106280193236715,-0.10024154589371981,0.049516908212560384,-0.1340579710144928,-0.04468599033816423,0.049516908212560384,-0.1340579710144928,-0.10990338164251212,0.049516908212560384,-0.16183574879227058,-0.3623188405797102,0.049516908212560384,-0.3659420289855072,-0.3152173913043478,0.049516908212560384,-0.3659420289855072,False,False,True,True
pre,SIDEWAYS,2012-04-04,6,6,033550,룩손에너지,1265.0,0.9033710698469659,0.41739130434782606,0.2524752475247525,0.26626626626626626,0.23350451797438734,1.0,0.0,0.13963963963963963,0.9174035003836072,1049995540.0,-0.06719367588932801,0.06324110671936767,-0.09090909090909094,-0.1699604743083004,0.06324110671936767,-0.19367588932806323,-0.21897233201581023,0.06324110671936767,-0.25138339920948616,-0.23320158102766797,0.06324110671936767,-0.2845849802371542,-0.4173913043478261,0.06324110671936767,-0.4355731225296443,-0.4458498023715415,0.06324110671936767,-0.5715415019762846,False,False,True,True
pre,SIDEWAYS,2012-04-05,1,7,065180,피에스앤지,2870.0,3.1038656570958323,0.259581881533101,2.3333333333333335,0.1643002028397566,0.5109504422293977,1.0,0.0,0.10597302504816955,0.8509063297734613,845539310.0,-0.04878048780487809,0.027874564459930307,-0.11149825783972123,-0.03135888501742157,0.027874564459930307,-0.11149825783972123,-0.2142857142857143,0.2142857142857142,-0.23170731707317072,-0.1968641114982579,0.2142857142857142,-0.34843205574912894,-0.7031358885017421,0.2142857142857142,-0.7108013937282229,-0.7606271777003484,0.2142857142857142,-0.7665505226480837,True,False,True,False
pre,SIDEWAYS,2012-04-05,2,7,096630,에스코넥,1500.0,2.8120065534201637,0.42133333333333334,1.6269702276707532,0.4218009478672986,0.7637029924160771,1.0,0.0,0.14068441064638784,0.8404250847470354,15445396500.0,-0.15333333333333332,0.1266666666666667,-0.19999999999999996,-0.06000000000000005,0.1266666666666667,-0.19999999999999996,-0.15666666666666662,0.1266666666666667,-0.19999999999999996,-0.19333333333333336,0.1266666666666667,-0.2533333333333333,-0.3826666666666667,0.1266666666666667,-0.43333333333333335,-0.09333333333333338,0.1266666666666667,-0.43333333333333335,False,False,True,False
pre,SIDEWAYS,2012-04-05,3,7,053320,테라리소스,1670.0,2.24390089636365,0.5359281437125748,1.141025641025641,0.3201581027667984,0.566947111625434,1.0,0.0,0.037267080745341616,2.7311494504322353,76531816450.0,-0.15269461077844315,0.0059880239520957446,-0.2065868263473054,-0.11676646706586824,0.0059880239520957446,-0.2065868263473054,0.05988023952095811,0.14371257485029942,-0.2065868263473054,-0.10179640718562877,0.16467065868263475,-0.2065868263473054,-0.2904191616766467,0.16467065868263475,-0.3323353293413174,-0.17664670658682635,0.16467065868263475,-0.3323353293413174,False,False,True,False
pre,SIDEWAYS,2012-04-05,4,7,092070,디엔에프,9680.0,2.1436805950634517,0.42768595041322316,1.42,0.18482252141982863,0.2959946446502287,1.0,0.0,0.05217391304347826,1.0661616545086061,2473849840.0,0.019628099173553792,0.04855371900826455,-0.02685950413223137,0.011363636363636465,0.04855371900826455,-0.052685950413223104,0.026859504132231482,0.12603305785123964,-0.052685950413223104,-0.0774793388429752,0.12603305785123964,-0.09090909090909094,-0.237603305785124,0.12603305785123964,-0.25619834710743805,-0.037190082644628086,0.12603305785123964,-0.25619834710743805,False,False,False,False
