signal_date,entry_date,peak_date,peak_day,asset_code,asset_name,max_ret40,open_price,high_price,low_price,close_price,volume,trade_amount,market_cap,ret5,ret20,ret60,ret120,ret252,high60_ratio,range20,volume_expansion,body_ret,upper_shadow,lower_shadow,candle_location,ma5_dist,ma20_dist,ma60_dist,ma120_dist,ma200_dist,tenkan,kijun,senkou_a_proxy,senkou_b_proxy,cloud_state,tenkan_kijun_state,week_ret,week_range,week_body,week_close_location,month_ret,month_range,month_body,month_close_location,year_ret,year_range,year_body,year_close_location,market_foreign_net,market_institution_net,market_individual_net,foreign_buy_rank,foreign_buy_amount,inst_buy_rank,inst_buy_amount,q_ret20d,q_ret60d,q_risk_adj_ret60d,q_drawdown60d,q_trade_amount20d_avg
2023-04-24,2023-04-25,2023-05-16,14,001440,대한전선,9.9412507896399242,1630.0000,1664.0000,1577.0000,1582.0000,12066009,19088426238.0000,1968756300238,-0.07159624413145539906,0.1055206149545772,-0.00815047021943573668,-0.08023255813953488372,-0.10368271954674220963,0.87888888888888888889,0.25347661188369152971,4.4875648502015493,-0.02944785276073619632,0.02149178255372945638,0.00316055625790139064,0.05747126436781609195,-0.04422426292895118415,0.0248437145726039,0.0424812195229100,0.0016039169339862,-0.01885692490410287738,1612.5000000000000000,1599.5000000000000000,1606.0000000000000000,1596.0000000000000000,BELOW_CLOUD,TENKAN_ABOVE,-0.02944785276073619632,0.05499367888748419722,-0.02944785276073619632,0.05747126436781609195,0.0421607378129117,0.25347661188369152971,0.04216073781291172596,0.45635910224438902743,0.0511627906976744,0.25790139064475347661,0.05116279069767441860,0.46568627450980392157,,,,,,,,0.10552061495457721873,-0.00815047021943573668,-0.4090653310198755790551189669021963713401,-0.07808857808857808858,44846128075.60000000
2023-03-16,2023-03-17,2023-04-19,24,131400,이브이첨단소재,9.9348093480934809,1641.0000,1642.0000,1550.0000,1609.0000,1514568,2436939912.0000,51596512569,-0.11593406593406593407,-0.02009744214372716200,0.6883525708289612,-0.09606741573033707865,0.0762541806020067,0.68468085106382978723,0.52454940957116221255,2.7876018704891349,-0.01950030469226081658,0.00062150403977625855,0.03666873834679925420,0.64130434782608695652,-0.03664231828523530116,-0.05065345015783107650,0.0055621523654772,0.0398591116927601,-0.04361109625112192918,1950.0000000000000000,1928.0000000000000000,1939.0000000000000000,1175.0000000000000000,IN_CLOUD,TENKAN_ABOVE,-0.08162100456621004566,0.13051584835301429459,-0.08162100456621004566,0.28095238095238095238,0.0380645161290323,0.51211932877563704164,0.03806451612903225806,0.10072815533980582524,,1.4605344934742076,,0.68468085106382978723,,,,,,,,-0.02009744214372716200,0.68835257082896117524,4.7688792796649247274324403831564090013253,-0.22829736211031175060,11314442024.90000000
2024-08-22,2024-08-23,2024-10-04,26,071950,코아스,9.8670520231213873,1030.0000,1043.0000,1012.0000,1038.0000,554100,575155800.0000,34157682942,-0.08947368421052631579,0.0077669902912621,1.0885311871227364,0.9222222222222222,0.4765291607396871,0.78636363636363636364,0.40462427745664739884,0.37792789105093343138,0.00776699029126213592,0.00481695568400770713,0.01734104046242774566,0.83870967741935483871,-0.00764818355640535373,0.0018337998262716,0.3684303040956231,0.6672913208759437,0.6858722927375935,1137.0000000000000000,1108.5000000000000000,1122.7500000000000000,835.5000000000000000,IN_CLOUD,TENKAN_ABOVE,-0.01797540208136234626,0.06454720616570327553,-0.01797540208136234626,0.52238805970149253731,-0.02443609022556390977,0.40462427745664739884,-0.02443609022556390977,0.32857142857142857143,0.7213930348258706,0.93352601156069364162,0.72139303482587064677,0.70897832817337461300,,,,,,,,0.00776699029126213592,1.0885311871227364,12.9360880601111669218271751454851802729995,-0.09344978165938864629,1298429094.20000000
2023-03-15,2023-03-16,2023-04-19,25,131400,이브이첨단소재,9.8348567946374162,1601.0000,1727.0000,1600.0000,1658.0000,2640223,4377489734.0000,53167817178,-0.16050632911392405063,-0.02527924750146972369,0.7397691500524659,-0.08901098901098901099,0.1090301003344482,0.70553191489361702128,0.50904704463208685163,2.7936663899750155,0.03560274828232354778,0.04161640530759951749,0.00060313630880579011,0.45669291338582677165,-0.03176827843961691194,-0.02269378131447096964,0.0433141059255375,0.0705407586763519,-0.01507388430979431202,1975.0000000000000000,1928.0000000000000000,1951.5000000000000000,1175.0000000000000000,IN_CLOUD,TENKAN_ABOVE,-0.05365296803652968037,0.09650180940892641737,-0.05365296803652968037,0.36250000000000000000,0.0696774193548387,0.49698431845597104946,0.06967741935483870968,0.16019417475728155340,,1.4173703256936068,,0.70553191489361702128,,,,,,,,-0.02527924750146972369,0.73976915005246589717,5.1288073366964738891715147267801940575106,-0.20479616306954436451,11253243448.70000000
2024-08-13,2024-08-14,2024-10-04,32,071950,코아스,9.7428571428571429,1020.0000,1058.0000,1003.0000,1050.0000,489359,513826950.0000,34552569450,0.0960334029227557,0.1134676564156946,1.1966527196652720,0.9553072625698324,0.4442916093535076,0.87500000000000000000,0.25047619047619047619,0.52334347433779341537,0.02941176470588235294,0.00761904761904761905,0.01619047619047619048,0.85454545454545454545,0.0591083316522090,0.0261923377638780,0.4985727878211227,0.7611785918957830,0.7499708338194363,1002.5000000000000000,967.0000000000000000,984.7500000000000000,775.5000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,0.0769230769230769,0.07904761904761904762,0.07692307692307692308,0.90361445783132530120,-0.01315789473684210526,0.19523809523809523810,-0.01315789473684210526,0.73170731707317073171,0.7412935323383085,0.80857142857142857143,0.74129353233830845771,0.82332155477031802120,,,,,,,,0.11346765641569459173,1.1966527196652720,14.4211631377333851820311186422122066686518,-0.08296943231441048035,1524834903.35000000
2023-02-21,2023-02-22,2023-04-19,40,131400,이브이첨단소재,9.7108433734939759,1645.0000,1665.0000,1644.0000,1657.0000,481540,797911780.0000,53135749737,-0.02586713697824808936,-0.04219653179190751445,0.3526530612244898,-0.09945652173913043478,0.1751773049645390,0.72043478260869565217,0.28183464091732045866,0.57440188331069005829,0.00729483282674772036,0.00482800241400120700,0.00060350030175015088,0.61904761904761904762,0.0036341611144761,-0.03696384981983029176,0.1619508432383156,0.0647674636536453,-0.01971514353748539482,1818.0000000000000000,1856.5000000000000000,1837.2500000000000000,1150.0000000000000000,IN_CLOUD,TENKAN_BELOW,0.0103658536585366,0.03621001810500905250,0.01036585365853658537,0.30000000000000000000,-0.02241887905604719764,0.28183464091732045866,-0.02241887905604719764,0.07280513918629550321,,1.3880506940253470,,0.72043478260869565217,,,,,,,,-0.04219653179190751445,0.35265306122448979592,2.4942055419876717569517422454820691739616,-0.16523929471032745592,3492799622.30000000
2024-08-16,2024-08-19,2024-10-04,30,071950,코아스,9.6717123935666982,1140.0000,1170.0000,1035.0000,1079.0000,1253827,1352879333.0000,35506878511,0.1357894736842105,0.0898989898989899,1.2811839323467230,0.9798165137614679,0.4801097393689986,0.81742424242424242424,0.38924930491195551437,0.48109791494705935328,-0.05350877192982456140,0.02780352177942539388,0.04077849860982391103,0.32592592592592592593,0.0287948131197559,0.0434193985107823,0.4947703816582392,0.7815570048708000,0.7815717128020540,1110.0000000000000000,1101.5000000000000000,1105.7500000000000000,835.5000000000000000,IN_CLOUD,TENKAN_ABOVE,0.1066666666666667,0.31974050046339202966,0.10666666666666666667,0.30144927536231884058,0.0140977443609023,0.38924930491195551437,0.01409774436090225564,0.42619047619047619048,0.7893864013266998,0.89805375347544022243,0.78938640132669983416,0.75128998968008255934,,,,,,,,0.08989898989898989899,1.2811839323467230,15.2794414000373455837814822554748238279817,-0.05764192139737991266,1565679713.55000000
2023-04-21,2023-04-24,2023-05-16,15,001440,대한전선,9.6257668711656442,1661.0000,1671.0000,1612.0000,1628.0000,11808815,19224750820.0000,2026002058652,-0.01927710843373493976,0.1282051282051282,0.0175000000000000,0.0853333333333333,-0.08795518207282913165,0.90444444444444444444,0.24631449631449631450,4.3558212967280818,-0.01986754966887417219,0.00614250614250614251,0.00982800982800982801,0.27118644067796610169,-0.03072160038104310550,0.0598268341904824,0.0726404216768242,0.0299777512995983,0.0089585353987648,1600.5000000000000000,1599.5000000000000000,1600.0000000000000000,1596.0000000000000000,ABOVE_CLOUD,TENKAN_ABOVE,-0.03896103896103896104,0.11547911547911547912,-0.03896103896103896104,0.08510638297872340426,0.0724637681159420,0.24631449631449631450,0.07246376811594202899,0.57107231920199501247,0.0817275747508306,0.25061425061425061425,0.08172757475083056478,0.57843137254901960784,,,,,,,,0.12820512820512820513,0.01750000000000000000,0.8934817515994085418907345691421384324650,-0.05128205128205128205,44318247795.70000000
2023-03-03,2023-03-06,2023-04-19,33,131400,이브이첨단소재,9.5833333333333333,1720.0000,1723.0000,1606.0000,1673.0000,2093790,3502910670.0000,53648828793,0.0863636363636364,-0.02789076118535735038,0.5209090909090909,-0.06536312849162011173,0.1992831541218638,0.72739130434782608696,0.34907352062163777645,1.5357709496342802,-0.02732558139534883721,0.00179318589360430365,0.04004781829049611476,0.57264957264957264957,0.0502197112366604,0.0020364159080019,0.1335840363180540,0.0800632673043609,-0.00701263936990114642,1688.0000000000000000,1798.0000000000000000,1743.0000000000000000,1150.0000000000000000,IN_CLOUD,TENKAN_BELOW,0.0758842443729904,0.21757322175732217573,0.07588424437299035370,0.45879120879120879121,0.0793548387096774,0.20561864913329348476,0.07935483870967741935,0.42732558139534883721,,1.3747758517632995,,0.72739130434782608696,,,,,,,,-0.02789076118535735038,0.52090909090909090909,3.6673128760528880318659585082866292204104,-0.15717884130982367758,4623297144.25000000
2023-04-20,2023-04-21,2023-05-16,16,001440,대한전선,9.4274533413606261,1685.0000,1729.0000,1635.0000,1661.0000,24253069,40284347609.0000,2067069667949,0.0771725032425422,0.1607267645003494,0.0688545688545689,0.0785714285714286,-0.05356125356125356125,0.92277777777777777778,0.24142083082480433474,4.2183911107035583,-0.01424332344213649852,0.02649006622516556291,0.01565322095123419627,0.27659574468085106383,-0.01482799525504151839,0.0878606280905131,0.0947197293408175,0.0515653192364914,0.0289895025724738,1599.5000000000000000,1599.5000000000000000,1599.5000000000000000,1596.0000000000000000,ABOVE_CLOUD,TENKAN_BELOW,-0.01948051948051948052,0.09933774834437086093,-0.01948051948051948052,0.15757575757575757576,0.0942028985507246,0.24142083082480433474,0.09420289855072463768,0.65336658354114713217,0.1036544850498339,0.24563515954244431066,0.10365448504983388704,0.65931372549019607843,,,,,,,,0.16072676450034940601,0.06885456885456885457,3.4857714061169767733388472129973943470979,-0.03205128205128205128,43666212398.60000000
