signal_date,asset_code,asset_name,entry_date,rn,score,ret20,ret60,ret120,high60_ratio,range20,volume_expansion,candle_location,upper_shadow,lower_shadow,body_ret,ma20_dist,ma60_dist,ma120_dist,ma20_slope5,ma60_slope5,trade_amount,market_cap,exit_date,ret,reason,peak_ret
2022-05-09,006980,우성,2022-05-16,1,7.808140556577925144156,0.1375000000000000,8.8454404945904173,,0.75833333333333333333,0.56200941915227629513,0.46872341794320106936,0.75000000000000000000,0.01098901098901098901,0.00941915227629513344,0.02411575562700964630,0.0927180718758041,0.1147537158457195,0.9708793577168909,0.04490051980641692060,0.09514166160922474724,1617980000.0000,98416500000,2022-06-22,-0.14443094841930115,DIST,0.1064891846921796
2022-06-22,003100,선광,2022-06-29,1,2.247321633141177218524,0.3729903536977492,1.8231404958677686,4.2392638036809816,0.99533799533799533800,0.31147540983606557377,0.72000171850357143847,0.47368421052631578947,0.00585480093676814988,0.01053864168618266979,-0.00582072176949941793,0.2211339100593408,0.5300774892873673,1.2466293982242683,0.08292040879529266027,0.08319182313651287177,5676111000.0000,563640000000,2022-09-07,0.14919842164599773,MAX,0.1623449830890642
2022-09-01,054180,메디콕스,2022-09-08,1,10.882506314981395930000,13.5734597156398104,8.5348837209302326,11.4873096446700508,1.2374245472837022,1.00000000000000000000,0.37179555381737087790,1.00000000000000000000,0E-24,0.01626016260162601626,0.11818181818181818182,2.5084716755091563,5.4091986764744197,6.0548760377980757,1.7210493635516920,0.5751552625099176,12429051600.0000,120311060100,2022-11-15,-0.2366538461538461,STOP,0.15384615384615374
2022-11-09,054180,메디콕스,2022-11-16,1,7.069535917284968364284,14.2173913043478261,5.4615384615384615,7.2031250000000000,0.85365853658536585366,1.17142857142857142857,0.36432872796590573805,0.83870967741935483871,0.02380952380952380952,0E-24,0.14130434782608695652,0.3649037742839130,2.2891817246798269,3.3821971501806787,0.4151023223729593,0.2680622587671387,8360226000.0000,130328404500,2022-11-22,-0.13025225225225223,EARLY,0.05855855855855863
2022-11-16,004690,삼천리,2022-11-23,1,3.488056721517469637324,1.0473186119873817,2.7384792626728111,3.8870481927710843,1.0780730897009967,0.46070878274268104777,1.4958625935860992,0.83333333333333333333,0.00770416024653312789,0.01232665639445300462,0.02689873417721518987,0.3972012917115178,1.1888455441760070,1.8114711488476867,0.1685534591194969,0.1307426334121476,11653119500.0000,1315855612500,2023-02-03,0.34451773049645384,MAX,0.4070921985815603
2023-01-30,073570,어반리튬,2023-02-06,1,13.032223144497571650896,16.8815489749430524,11.7125506072874494,8.7819314641744548,0.81770833333333333333,1.22292993630573248408,2.7463044948366843,0.78571428571428571429,0.01910828025477707006,0.01847133757961783439,0.05439892545332437878,1.2633893173790817,4.0893334702014663,5.7112420428678804,1.0458332718880418,0.5758899304402612,34324878600.0000,434333576300,2023-04-17,1.2184285714285716,MAX,1.5357142857142856
2023-04-11,073570,어반리튬,2023-04-18,1,22.829668134986752091256,8.5781250000000000,24.1229508196721311,19.5016722408026756,0.91629297458893871450,1.09135399673735725938,0.63959194120342692548,0.69736842105263157895,0.00163132137030995106,0.08646003262642740620,-0.03464566929133858268,1.0531198713869444,4.1433653663284370,7.1760041613593774,0.5023523787958840,0.4357166376215678,40486657750.0000,884777381250,2023-04-20,-0.08926198083067094,EARLY,0.05271565495207664
2023-04-18,131400,이브이첨단소재,2023-04-25,1,11.405557591915345660000,12.3592233009708738,8.9350180505415162,2.2452830188679245,1.8746594005449591,1.00000000000000000000,2.3739274291715481,1.00000000000000000000,0E-24,0.02398255813953488372,0.16314454775993237532,4.3841488466730577,5.8150863029642654,3.6827541809292340,0.7271989997634576,0.2070484142562498,312539301120.0000,662783988160,2023-04-25,-0.07112652068126524,EARLY,0.010948905109489093
2023-04-25,145210,다이나믹디자인,2023-05-03,1,14.82407852678617282,-0.09333333333333333333,16.1284634760705290,8.8265895953757225,0.41212121212121212121,1.3955882352941176,0.90740297427751882018,0.70312500000000000000,0.01323529411764705882,0.06617647058823529412,-0.01449275362318840580,0.4664653871037309,0.4932037271536170,1.6359228475719468,0.0097996515679443,0.1429061416387463,11379494000.0000,96015061600,2023-05-04,-0.14809246088193462,EARLY,0.0
2023-05-03,222810,세토피아,2023-05-11,1,10.054612012133114193144,1.9727626459143969,10.1695906432748538,5.3455149501661130,0.85746352413019079686,0.90314136125654450262,2.1377907517830238,0.66000000000000000000,0.06675392670157068063,0.01178010471204188482,0.13353115727002967359,1.1358083363618574,1.3703397280107555,2.6804791688411790,0.2995349851049916,0.1551740615965403,40773220760.0000,248678775920,2023-05-11,-0.08803401360544216,EARLY,0.006802721088435382
2023-05-25,145210,다이나믹디자인,2023-06-02,1,33.16997383737830344,1.0977542932628798,39.3045685279187817,12.8086956521739130,0.48121212121212121212,1.1952141057934509,1.2518751110133051,0.62025316455696202532,0.03778337531486146096,0.02141057934508816121,0.04199475065616797900,0.5412238559712719,0.5841241761822740,1.8369385597951497,0.1026862157534247,0.1270410553338205,21407899460.0000,135697609260,2023-06-14,-0.018936254980079666,DIST,0.12350597609561742
2023-06-12,145210,다이나믹디자인,2023-06-19,1,26.55547972447688092,0.9270270270270270,30.9730941704035874,11.2508591065292096,0.43212121212121212121,1.3309957924263675,1.4916664589928970,0.96000000000000000000,0.00280504908835904628,0.04347826086956521739,0.02442528735632183908,0.2937760841952459,0.3596188744847400,1.4509789879255769,0.1726779444621768,0.1266282825244735,7002102060.0000,121854402270,2023-07-24,-0.2382092352092352,STOP,0.26984126984126977
