signal_date,asset_code,asset_name,label,max_ret40,min_ret10,close20_ret,ret5,ret20,ret60,ret120,high60_ratio,range20,volume_expansion,body_ret,upper_shadow,lower_shadow,candle_location,ma5_dist,ma20_dist,ma60_dist,ma120_dist,ma20_slope5,ma60_slope5,above_cloud,tenkan_above,ma20_over_ma60
2024-08-02,071950,코아스,WINNER_50,10.3253012048192771,-0.09638554216867469880,0.0030120481927711,-0.10267857142857142857,1.3103448275862069,1.1800433839479393,0.8715083798882682,0.83750000000000000000,0.63184079601990049751,7.8606494914939730,0E-20,0.09950248756218905473,0.01890547263681592040,0.15966386554621848739,-0.05969311377245508982,0.0054524536041219,0.5701080588465044,0.7597875414046198,0.2016710747775908,0.0861449701631833,1,1,1
2024-08-01,071950,코아스,WINNER_50,10.2238805970149254,-0.10447761194029850746,-0.00696517412935323383,-0.02992277992277992278,1.4393203883495146,1.1895424836601307,0.8043087971274686,0.83750000000000000000,0.77810945273631840796,15.5551848779616594,-0.05545112781954887218,0.00895522388059701493,0.00398009950248756219,0.05555555555555555556,-0.07950174024546620260,0.0349621543689820,0.5926679168537545,0.7718878098232520,0.2219076381024286,0.0911579918150902,1,1,1
2023-03-23,131400,이브이첨단소재,WINNER_50,10.1264080100125156,-0.01063829787234042553,6.2277847309136421,0.1622125543816035,0.1702127659574468,0.9622245540398741,-0.17256637168141592920,0.79574468085106382979,0.45133689839572192513,3.5736482222238862,0.02297592997811816193,0.07486631016042780749,0.02513368983957219251,0.38864628820960698690,0.0379662522202487,0.0779961953075460,0.1192131592335086,0.2191875342964408,0.0235124052276013,0.0441951544695123,0,0,1
2024-08-22,071950,코아스,WINNER_50,9.8670520231213873,-0.05973025048169556840,0.0308285163776493,-0.08947368421052631579,0.0077669902912621,1.0885311871227364,0.9222222222222222,0.78636363636363636364,0.40462427745664739884,0.37792789105093343138,0.00776699029126213592,0.00481695568400770713,0.01734104046242774566,0.83870967741935483871,-0.00764818355640535373,0.0018337998262716,0.3684303040956231,0.6672913208759437,0.0062642645559171,0.0657300081957616,0,1,1
2024-08-13,071950,코아스,WINNER_50,9.7428571428571429,-0.04761904761904761905,0.0190476190476190,0.0960334029227557,0.1134676564156946,1.1966527196652720,0.9553072625698324,0.87500000000000000000,0.25047619047619047619,0.52334347433779341537,0.02941176470588235294,0.00761904761904761905,0.01619047619047619048,0.85454545454545454545,0.0591083316522090,0.0261923377638780,0.4985727878211227,0.7611785918957830,-0.00597464419293729052,0.0672759583650673,1,1,1
2024-08-16,071950,코아스,WINNER_50,9.6717123935666982,-0.05865657521286660360,0.0122989593188269,0.1357894736842105,0.0898989898989899,1.2811839323467230,0.9798165137614679,0.81742424242424242424,0.38924930491195551437,0.48109791494705935328,-0.05350877192982456140,0.02780352177942539388,0.04077849860982391103,0.32592592592592592593,0.0287948131197559,0.0434193985107823,0.4947703816582392,0.7815570048708000,0.0105047149069233,0.0717626388854520,0,1,1
2023-03-03,131400,이브이첨단소재,WINNER_50,9.5833333333333333,-0.07738095238095238095,0.2648809523809524,0.0863636363636364,-0.02789076118535735038,0.5209090909090909,-0.06536312849162011173,0.72739130434782608696,0.34907352062163777645,1.5357709496342802,-0.02732558139534883721,0.00179318589360430365,0.04004781829049611476,0.57264957264957264957,0.0502197112366604,0.0020364159080019,0.1335840363180540,0.0800632673043609,-0.01765121204989409273,0.0259526595683053,0,0,1
2023-03-13,131400,이브이첨단소재,WINNER_50,9.3552708211997670,-0.09726266744321490973,2.2906231799650553,-0.11230769230769230769,-0.04152823920265780731,0.8163693599160546,-0.09843750000000000000,0.73659574468085106383,0.48757943385326400924,2.8254048161329912,-0.01198630136986301370,0.00462160600808781051,0.04043905257076834200,0.70707070707070707071,-0.07561678949054790131,0.0152194950294713,0.1049288807089588,0.1154488484112963,0.0166656728877229,0.0507036585774807,0,0,1
2023-03-02,131400,이브이첨단소재,WINNER_50,9.3372093023255814,-0.09883720930232558140,0.1802325581395349,0.0763454317897372,0.0147492625368732,0.5565610859728507,0.0455927051671733,0.74782608695652173913,0.33953488372093023256,1.4349632538374279,0.10967741935483870968,0.08720930232558139535,0.01395348837209302326,0.56395348837209302326,0.0980592441266599,0.0287081339712919,0.1730205278592375,0.1097072501948977,-0.02333596191477554835,0.0229881047894792,0,0,1
2023-03-10,131400,이브이첨단소재,WINNER_50,9.1484018264840183,-0.11529680365296803653,1.4828767123287671,0.0472205618649133,0.0281690140845070,0.8384050367261280,-0.08511749347258485640,0.74553191489361702128,0.48173515981735159817,3.5221432479866437,-0.03894679100383982447,0.02168949771689497717,0.00114155251141552511,0.01801801801801801802,-0.08578584846587351284,0.0252808988764045,0.1276671064911660,0.1278364894587200,0.0234786775275515,0.0527153843547786,0,0,1
2024-09-04,071950,코아스,WINNER_50,9.1347708894878706,-1.00000000000000000000,7.1761006289308176,0.0861386138613861,0.1450939457202505,1.1637080867850099,1.1552062868369352,0.83106060606060606061,0.34822242479489516864,0.24010157600670181953,0.11710794297352342159,0E-20,0E-20,1.00000000000000000000,0.0700351150994928,0.0695656413006386,0.3110509122779061,0.6617854978792163,0.0071190102120974,0.0549275057785249,1,0,1
2023-03-20,131400,이브이첨단소재,WINNER_50,9.1310541310541311,-0.09914529914529914530,5.0341880341880342,0.0005777007510110,0.0573870573870574,0.8174186778593914,-0.22505592841163310962,0.73702127659574468085,0.48729792147806004619,2.7897079817480113,0.00873616773442050087,0.00866050808314087760,0.02655889145496535797,0.80263157894736842105,0.0481723553618978,0.0194531916772124,0.0659117484152871,0.1227433312805886,-0.00357760769478900912,0.0372033149994149,0,0,1
2024-08-14,071950,코아스,WINNER_50,8.8947368421052632,-0.12280701754385964912,-0.06140350877192982456,0.1608961303462322,0.1275964391691395,1.4000000000000000,1.1150278293135436,0.95000000000000000000,0.36842105263157894737,0.48903136121895923092,0.08571428571428571429,0.15789473684210526316,0E-20,0.33333333333333333333,0.1143695014662757,0.1071723401155733,0.6016859852476291,0.8962075848303393,-0.00106718408925539656,0.0698717306343321,1,1,1
2023-03-27,131400,이브이첨단소재,WINNER_50,8.7961432506887052,-0.03415977961432506887,3.5564738292011019,0.0542725173210162,0.1742765273311897,0.9160545645330535,-0.03894736842105263158,0.77702127659574468085,0.46221248630887185104,4.0848444772230289,0.06534422403733955659,0.05695509309967141292,0.00219058050383351588,0.52727272727272727273,-0.00207672969723467046,0.0394489668127740,0.0754039144859538,0.1931586140802736,0.0339915830365814,0.0449668697560876,0,0,1
2023-03-09,131400,이브이첨단소재,WINNER_50,8.7531541415249589,-0.14975315414152495886,1.2846955567745474,0.0581395348837209,0.0400000000000000,0.9097586568730325,0.0196078431372549,0.77446808510638297872,0.46373626373626373626,3.5140376400552873,-0.09452736318407960199,0E-20,0.02197802197802197802,0.17391304347826086957,-0.04240766073871409029,0.0665729020159400,0.1815624323739450,0.1705873840266276,0.0205741626794258,0.0504898952010730,0,0,1
2023-03-22,131400,이브이첨단소재,WINNER_50,8.7264770240700219,-0.13512035010940919037,5.3785557986870897,0.1145958986731001,0.1152685576342788,0.9391395592864638,-0.13644859813084112150,0.78638297872340425532,0.45670995670995670996,3.2922328282413297,-0.02583025830258302583,0.02651515151515151515,0.01623376623376623377,0.23437500000000000000,0.0563621813193095,0.0737319156353495,0.1162565940482423,0.2022965946857363,0.0145004420866490,0.0417619297325642,0,0,1
2023-03-21,131400,이브이첨단소재,WINNER_50,8.3726937269372694,-0.16657880864522930944,6.2535582498682130,0.1842598376014991,0.1532846715328467,0.9895068205666317,-0.16659340659340659341,0.80680851063829787234,0.44514767932489451477,3.1867013082933483,0.08034188034188034188,0.08122362869198312236,0.02162447257383966245,0.54166666666666666667,0.1078649059249737,0.1077678128012620,0.1556630128914941,0.2315753576667623,0.0075942660347923,0.0400655079507634,0,0,1
2023-03-28,131400,이브이첨단소재,WINNER_50,8.3235448348190876,-0.03513371788148925013,3.0167802831672784,-0.00632911392405063291,0.2501658925016589,0.9769150052465897,-0.02635658914728682171,0.80170212765957446809,0.44798301486199575372,4.2664443925188510,0.03801652892561983471,0.01910828025477707006,0.03290870488322717622,0.78443113772455089820,0.0309729670570209,0.0610796654557743,0.0995146339328269,0.2313993768927428,0.0373930063392831,0.0444141938498735,0,0,1
2023-03-06,131400,이브이첨단소재,WINNER_50,8.1981376099327470,-0.19813760993274702535,0.4278323848939472,0.2540192926045016,0.0833333333333333,0.8750000000000000,0.1016949152542373,0.84782608695652173913,0.33794871794871794872,2.5436317798125292,0.16071428571428571429,0.11025641025641025641,0E-20,0.55670103092783505155,0.1662679425837321,0.1627213642597341,0.3078324633080337,0.2576723387330832,-0.00798533065183958358,0.0321906981573998,1,0,1
2023-03-08,131400,이브이첨단소재,WINNER_50,7.8457711442786070,-0.22885572139303482587,1.0298507462686567,0.3079470198675497,0.2086903304773562,1.0724029380902413,0.0733695652173913,0.84042553191489361702,0.42734177215189873418,3.5759177479632644,-0.03892944038929440389,0.01518987341772151899,0.00607594936708860759,0.09836065573770491803,0.0501967457194512,0.1597862469904281,0.2943322447107140,0.2705186074687195,0.0192428550052372,0.0479608072067122,1,0,1
