variant,role,period,signal_date,asset_code,asset_name,exchange,industry_sector,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,sig_ma60_dist,exit_mode,exit_max_hold,exit_trend_ma,entry_candle_loc,entry_upper_shadow,entry_body_ret,entry_ma20_dist,entry_vol_exp,entry_trade_amount,next_body_ret,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_60d,max_60d,min_60d
KOSPI_R17_CONTROL,control,pre,2020-11-11,030790,비케이탑스,KOSPI,UNKNOWN,2020-11-18,2020-11-19,2020-12-24,0.6897710843373493,68977108.43373494,TRAIL_GB_30,0.30042918454935624,0.34942084942084944,0.24622996122245822,control,,,1.0,0.0,0.10246433203631647,0.27906101873448197,3.8594916197608904,9899066000.0,0.2289156626506024,1.1204819277108433,1.427710843373494,0.0,1.1927710843373494,1.427710843373494,0.0,1.036144578313253,1.427710843373494,0.0,0.8433734939759037,1.427710843373494,0.0
KOSPI_R17_CONTROL,control,pre,2020-11-26,005940,NH투자증권,KOSPI,UNKNOWN,2020-12-03,2020-12-04,2021-01-20,0.02343171806167401,2343171.806167401,MAX,0.1894273127753304,0.235038084874864,0.16509837467921307,control,,,1.0,0.0,0.017857142857142856,0.05059441526126624,1.0350558641851295,17223359400.0,0.039647577092511016,0.07488986784140969,0.07488986784140969,-0.004405286343612335,0.04405286343612335,0.07488986784140969,-0.004405286343612335,0.06167400881057269,0.10572687224669604,-0.030837004405286344,-0.02643171806167401,0.13656387665198239,-0.05286343612334802
KOSPI_R17_CONTROL,control,pre,2020-11-30,023960,에쓰씨엔지니어링,KOSPI,UNKNOWN,2020-12-07,2020-12-08,2020-12-21,0.3311902313624679,33119023.13624679,TRAIL_GB_30,0.3522727272727273,0.375,0.24352331606217623,control,,,1.0,0.0,0.24848484848484848,1.1604614577871002,1.1343767272177931,6434904400.0,0.04113110539845758,0.7737789203084833,0.9254498714652957,0.0,0.30848329048843187,0.9254498714652957,0.0,0.8431876606683805,1.056555269922879,0.0,0.2133676092544987,1.3624678663239074,0.0
KOSPI_R17_CONTROL,control,pre,2020-12-16,033240,자화전자,KOSPI,UNKNOWN,2020-12-23,2020-12-24,2021-01-27,0.11092405063291139,11092405.063291138,TRAIL_PROFIT_FLOOR_12,0.2206703910614525,0.4732510288065844,0.2082348970637867,control,,,1.0,0.0,0.04509283819628647,0.14568188426868275,1.0019352751327686,12686189300.0,0.05063291139240506,0.09113924050632911,0.17468354430379746,-0.020253164556962026,0.07088607594936709,0.17468354430379746,-0.020253164556962026,0.12658227848101267,0.28860759493670884,-0.020253164556962026,-0.1518987341772152,0.28860759493670884,-0.28860759493670884
KOSPI_R17_CONTROL,control,pre,2020-12-23,001530,DI동일,KOSPI,UNKNOWN,2021-01-04,2021-01-05,2021-02-18,0.16046153846153846,16046153.846153846,MAX,0.3511450381679389,0.5197215777262181,0.4134656883901597,control,,,1.0,0.0,0.03666666666666667,0.2923332640764596,0.8326428838105189,5774181500.0,0.057692307692307696,0.041666666666666664,0.18269230769230768,-0.022435897435897436,0.08653846153846154,0.18269230769230768,-0.022435897435897436,0.20512820512820512,0.4423076923076923,-0.022435897435897436,0.08653846153846154,0.4423076923076923,-0.13141025641025642
KOSPI_R17_CONTROL,control,pre,2020-12-24,000070,삼양홀딩스,KOSPI,UNKNOWN,2021-01-05,2021-01-06,2021-02-19,0.18198659517426274,18198659.517426275,MAX,0.16688918558077437,0.20806451612903226,0.14716017868538614,control,,,0.9444444444444444,0.05555555555555555,0.006756756756756757,0.05891549996446592,1.721421848160192,3385801500.0,0.03351206434316354,0.032171581769437,0.06166219839142091,-0.014745308310991957,0.11394101876675604,0.11394101876675604,-0.014745308310991957,0.19436997319034852,0.628686327077748,-0.014745308310991957,0.2292225201072386,0.628686327077748,-0.014745308310991957
KOSPI_R17_CONTROL,control,pre,2021-01-05,006400,삼성SDI,KOSPI,전기전자,2021-01-12,2021-01-13,2021-02-26,-0.08972086720867209,-8972086.72086721,MAX,0.21137026239067055,0.5608646188850968,0.33781873141241286,control,,,0.9130434782608695,0.08695652173913043,0.019151846785225718,0.20833671235098533,1.8522009760501599,703679320000.0,0.02168021680216802,0.008130081300813009,0.04065040650406504,-0.044715447154471545,0.06910569105691057,0.10569105691056911,-0.044715447154471545,0.06097560975609756,0.10569105691056911,-0.044715447154471545,-0.11246612466124661,0.10840108401084012,-0.16937669376693767
KOSPI_R17_CONTROL,control,pre,2021-01-11,034300,신세계건설,KOSPI,UNKNOWN,2021-01-18,2021-01-19,2021-01-22,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2956381260096931,0.4036281179138322,0.30466856359995786,control,,,1.0,0.0,0.2430379746835443,0.6347594473114699,4.102655335976728,61992923500.0,0.10185185185185185,-0.1,0.16111111111111112,-0.10648148148148148,-0.07407407407407407,0.16111111111111112,-0.18796296296296297,-0.1111111111111111,0.16111111111111112,-0.18796296296296297,-0.10833333333333334,0.16111111111111112,-0.2462962962962963
KOSPI_R17_CONTROL,control,pre,2021-01-14,011790,SKC,KOSPI,UNKNOWN,2021-01-21,2021-01-22,2021-02-22,0.11092405063291139,11092405.063291138,TRAIL_PROFIT_FLOOR_12,0.24,0.4403292181069959,0.21226115568896842,control,,,0.9444444444444444,0.05555555555555555,0.06278026905829596,0.17390658279260984,1.16081582685557,72699631500.0,0.02531645569620253,0.02109704641350211,0.12658227848101267,-0.029535864978902954,0.10126582278481013,0.1729957805907173,-0.029535864978902954,0.07172995780590717,0.20675105485232068,-0.029535864978902954,0.20253164556962025,0.2742616033755274,-0.11814345991561181
KOSPI_R17_CONTROL,control,pre,2021-03-17,267270,현대건설기계,KOSPI,UNKNOWN,2021-03-24,2021-03-25,2021-04-30,0.1043558648111332,10435586.48111332,TRAIL_PROFIT_FLOOR_12,0.3703339882121807,0.43582510578279265,0.38371618866385754,control,,,0.9344262295081968,0.06557377049180328,0.05747126436781609,0.17251766886803382,0.8376618728303759,24572574400.0,0.03777335984095427,0.03578528827037773,0.14314115308151093,-0.017892644135188866,0.0536779324055666,0.14314115308151093,-0.017892644135188866,0.13518886679920478,0.16302186878727634,-0.02584493041749503,0.10934393638170974,0.3558648111332008,-0.02584493041749503
KOSPI_R17_CONTROL,control,pre,2021-03-26,001380,SG충방,KOSPI,UNKNOWN,2021-04-02,2021-04-05,2021-04-12,0.08033333333333333,8033333.333333333,TRAIL_PROFIT_FLOOR_12,0.22037037037037038,0.30120481927710846,0.05982794151319872,control,,,1.0,0.0,0.2971698113207547,0.4749262536873156,7.507219265772777,231665886375.0,0.04830917874396135,0.08333333333333333,0.2028985507246377,-0.013285024154589372,0.050724637681159424,0.2028985507246377,-0.021739130434782608,-0.033816425120772944,0.2028985507246377,-0.10144927536231885,-0.10386473429951691,0.2028985507246377,-0.14492753623188406
KOSPI_R17_CONTROL,control,pre,2021-03-29,138040,메리츠금융지주,KOSPI,금융업,2021-04-05,2021-04-06,2021-05-17,0.06474193548387097,6474193.548387097,TRAIL_PROFIT_FLOOR_12,0.2161290322580645,0.47619047619047616,0.35125317835088987,control,,,0.9285714285714286,0.07142857142857142,0.012779552715654952,0.07058426207362378,0.9602304477193387,3690529850.0,0.02258064516129032,0.035483870967741936,0.04516129032258064,-0.0032258064516129032,0.0935483870967742,0.1,-0.0032258064516129032,0.18387096774193548,0.19032258064516128,-0.0032258064516129032,0.3709677419354839,0.4096774193548387,-0.0032258064516129032
KOSPI_R17_CONTROL,control,pre,2021-03-30,002240,고려제강,KOSPI,UNKNOWN,2021-04-06,2021-04-07,2021-05-03,0.10192505353319058,10192505.353319058,TRAIL_PROFIT_FLOOR_12,0.18037135278514588,0.2651006711409396,0.20267971076137808,control,,,1.0,0.0,0.03416856492027335,0.2311864406779661,1.1725317029639493,4608122700.0,0.027837259100642397,0.044967880085653104,0.1734475374732334,-0.027837259100642397,0.08993576017130621,0.1734475374732334,-0.027837259100642397,0.20770877944325483,0.2398286937901499,-0.027837259100642397,0.06423982869379015,0.34475374732334046,-0.027837259100642397
KOSPI_R17_CONTROL,control,pre,2021-06-02,073240,금호타이어,KOSPI,UNKNOWN,2021-06-09,2021-06-10,2021-07-22,-0.02149217638691323,-2149217.638691323,MAX,0.39101338432122373,0.332484076433121,0.24640041308362967,control,,,0.8888888888888888,0.1111111111111111,0.08307692307692308,0.3211973350849207,2.4261787422975765,48664225280.0,0.049786628733997154,0.03556187766714083,0.112375533428165,-0.08250355618776671,0.10384068278805121,0.1465149359886202,-0.08250355618776671,-0.01422475106685633,0.18492176386913228,-0.08250355618776671,-0.1507823613086771,0.18492176386913228,-0.1906116642958748
KOSPI_R17_CONTROL,control,pre,2021-06-18,000680,LS네트웍스,KOSPI,UNKNOWN,2021-06-25,2021-06-28,2021-07-05,0.09398275862068965,9398275.862068966,TRAIL_PROFIT_FLOOR_12,0.35900783289817234,0.34385964912280703,0.20813837337679414,control,,,1.0,0.0,0.2874493927125506,0.23319544984488108,13.686462432896993,121085143020.0,0.1875,0.09698275862068965,0.35560344827586204,-0.0021551724137931034,0.05387931034482758,0.35560344827586204,-0.0021551724137931034,-0.08189655172413793,0.35560344827586204,-0.09159482758620689,-0.16702586206896552,0.35560344827586204,-0.23060344827586207
KOSPI_R17_CONTROL,control,pre,2021-08-05,034120,SBS,KOSPI,UNKNOWN,2021-08-12,2021-08-13,2021-09-30,0.0656456400742115,6564564.00742115,MAX,0.24537037037037038,0.8274111675126904,0.16571921997553424,control,,,0.88,0.12,0.031067961165048542,0.06019766397124888,0.8256829959528417,6852555000.0,0.0575139146567718,-0.029684601113172542,0.09090909090909091,-0.07328385899814471,-0.0575139146567718,0.09090909090909091,-0.08163265306122448,-0.016697588126159554,0.09090909090909091,-0.08812615955473098,-0.04823747680890538,0.14100185528756956,-0.09833024118738404
KOSPI_R17_CONTROL,control,pre,2022-04-05,329180,현대중공업,KOSPI,UNKNOWN,2022-04-12,2022-04-13,2022-04-21,0.11623076923076923,11623076.923076924,TRAIL_PROFIT_FLOOR_12,0.15810276679841898,0.24630541871921183,0.173650842740065,control,,,0.9,0.1,0.03187250996015936,0.08937960042060988,0.7600282812981584,25690598500.0,0.05,0.14615384615384616,0.2423076923076923,-0.011538461538461539,0.1076923076923077,0.2423076923076923,-0.011538461538461539,-0.046153846153846156,0.2423076923076923,-0.05384615384615385,-0.07307692307692308,0.2423076923076923,-0.14615384615384616
KOSPI_R17_CONTROL,control,train,2022-11-07,004360,세방,KOSPI,UNKNOWN,2022-11-14,2022-11-15,2023-02-10,1.3689806763285026,136898067.63285026,MAX,0.17039106145251395,0.42063492063492064,0.20708064062939033,control,,,1.0,0.0,0.04834605597964377,0.20344676500657222,2.2271555092471997,7045241200.0,0.036231884057971016,0.16908212560386474,0.19082125603864733,-0.007246376811594203,0.2246376811594203,0.2995169082125604,-0.007246376811594203,0.34299516908212563,0.5652173913043478,-0.007246376811594203,1.3719806763285025,1.5555555555555556,-0.007246376811594203
KOSPI_R17_CONTROL,control,train,2022-11-14,004690,삼천리,KOSPI,UNKNOWN,2022-11-21,2022-11-22,2023-01-04,0.2042992700729927,20429927.00729927,MAX,0.1564945226917058,0.5323741007194245,0.26159921026653504,control,,,1.0,0.0,0.026865671641791045,0.1487727500417432,1.0466721499769918,9937128000.0,0.020437956204379562,0.08759124087591241,0.1591240875912409,0.0,0.10364963503649635,0.1591240875912409,0.0,0.14306569343065692,0.1591240875912409,0.0,0.42043795620437957,0.4481751824817518,0.0
KOSPI_R17_CONTROL,control,train,2022-11-14,017390,서울가스,KOSPI,UNKNOWN,2022-11-21,2022-11-22,2023-01-04,0.19342857142857142,19342857.14285714,MAX,0.15759312320916904,0.35271317829457366,0.20068807339449532,control,,,0.9333333333333333,0.06666666666666667,0.02824858757062147,0.08180399732520989,0.8474871297155877,5848388000.0,0.04532967032967033,0.10714285714285714,0.17857142857142858,0.0,0.12362637362637363,0.17857142857142858,0.0,0.14697802197802198,0.17857142857142858,0.0,0.29945054945054944,0.34065934065934067,0.0
KOSPI_R17_CONTROL,control,train,2023-01-20,003530,한화투자증권,KOSPI,UNKNOWN,2023-01-31,2023-02-01,2023-03-03,-0.123,-12300000.0,STOP,0.3060556464811784,0.22690763052208834,0.17466115543593194,control,,,0.9512195121951219,0.04878048780487805,0.05188679245283019,0.1843852350181464,1.214713106986955,9934084695.0,0.10463378176382661,-0.01943198804185351,0.16741405082212257,-0.06726457399103139,-0.08669656203288491,0.16741405082212257,-0.09267563527653214,-0.08968609865470852,0.16741405082212257,-0.10164424514200299,-0.18385650224215247,0.16741405082212257,-0.21973094170403587
KOSPI_R17_CONTROL,control,train,2023-02-07,012030,DB,KOSPI,UNKNOWN,2023-02-14,2023-02-15,2023-04-20,0.9861500904159132,98615009.04159132,TRAIL_GB_30,0.1703011422637591,0.25554106910039115,0.14318501078289775,control,,,1.0,0.0,0.06389157792836399,0.16890023399276743,3.6433521834855367,4008366215.0,0.037070524412296565,0.2640144665461121,0.28390596745027125,-0.0108499095840868,0.4349005424954792,0.6130198915009042,-0.0108499095840868,0.2206148282097649,0.6130198915009042,-0.0108499095840868,0.6573236889692586,1.8571428571428572,-0.0108499095840868
KOSPI_R17_CONTROL,control,train,2023-04-03,003160,디아이,KOSPI,UNKNOWN,2023-04-10,2023-04-11,2023-04-25,0.054553956834532374,5455395.683453238,TRAIL_PROFIT_FLOOR_12,0.2703150912106136,0.23819301848049282,0.15546755237608578,control,,,0.8829787234042553,0.11702127659574468,0.11428571428571428,0.2593622460420684,3.645571332821552,8852655240.0,0.1366906474820144,0.1553956834532374,0.17985611510791366,-0.04316546762589928,0.05755395683453238,0.2489208633093525,-0.04316546762589928,-0.031654676258992806,0.2489208633093525,-0.04316546762589928,0.0460431654676259,0.2489208633093525,-0.07913669064748201
KOSPI_R17_CONTROL,control,train,2023-04-04,073240,금호타이어,KOSPI,UNKNOWN,2023-04-11,2023-04-12,2023-05-26,0.2227250945775536,22272509.45775536,MAX,0.1928374655647383,0.31521739130434784,0.13034226846926336,control,,,0.9210526315789473,0.07894736842105263,0.08618331053351573,0.15474112856311809,2.332640741723805,4828683210.0,0.07818411097099622,0.13366960907944514,0.19798234552332913,-0.011349306431273645,0.11979823455233292,0.19798234552332913,-0.011349306431273645,0.17528373266078184,0.244640605296343,-0.011349306431273645,0.16519546027742749,0.3316519546027743,-0.011349306431273645
KOSPI_R17_CONTROL,control,train,2023-04-04,092200,디아이씨,KOSPI,UNKNOWN,2023-04-11,2023-04-12,2023-05-16,0.11464705882352941,11464705.88235294,TRAIL_PROFIT_FLOOR_12,0.1872093023255814,0.2215909090909091,0.09238716233381315,control,,,0.9375,0.0625,0.042725173210161664,0.06863905325443787,1.932366442404399,5541444615.0,0.08061002178649238,0.11546840958605664,0.15904139433551198,-0.034858387799564274,0.029411764705882353,0.15904139433551198,-0.034858387799564274,0.1394335511982571,0.23093681917211328,-0.034858387799564274,0.2701525054466231,0.5838779956427015,-0.034858387799564274
KOSPI_R17_CONTROL,control,train,2023-04-05,034220,LG디스플레이,KOSPI,UNKNOWN,2023-04-12,2023-04-13,2023-05-30,-0.02906060606060606,-2906060.606060606,MAX,0.1888680425265791,0.20679245283018868,0.09480555048384147,control,,,0.9491525423728814,0.05084745762711865,0.029581993569131833,0.03876723438767234,1.0134412973650802,31498586320.0,0.02,-0.03515151515151515,0.04242424242424243,-0.040606060606060604,-0.07878787878787878,0.04242424242424243,-0.1006060606060606,-0.09212121212121212,0.04242424242424243,-0.11757575757575757,-0.10424242424242425,0.048484848484848485,-0.12
KOSPI_R17_CONTROL,control,train,2023-07-03,042660,한화오션,KOSPI,기계,2023-07-10,2023-07-11,2023-08-22,-0.123,-12300000.0,STOP,0.3403693931398417,0.45489443378119004,0.2950254847803184,control,,,0.8974358974358975,0.10256410256410256,0.014475271411338963,0.14796614796614796,0.7249590932725651,61826283200.0,0.06777645659928656,0.10582639714625446,0.18668252080856124,-0.020214030915576695,0.07847800237812129,0.18668252080856124,-0.020214030915576695,0.10582639714625446,0.18668252080856124,-0.03804994054696789,-0.29607609988109396,0.18668252080856124,-0.3269916765755054
KOSPI_R17_CONTROL,control,train,2023-07-13,047050,포스코인터내셔널,KOSPI,UNKNOWN,2023-07-20,2023-07-21,2023-07-27,0.39030543933054396,39030543.933054395,TRAIL_GB_30,0.2609170305676856,0.7283018867924528,0.3533945677066659,control,,,0.9032258064516129,0.0967741935483871,0.06086956521739131,0.12113031991269887,0.7114141149557537,121551528000.0,0.06276150627615062,0.6736401673640168,1.0230125523012552,-0.027196652719665274,0.7803347280334728,1.0230125523012552,-0.027196652719665274,0.6736401673640168,1.0230125523012552,-0.027196652719665274,0.27615062761506276,1.0230125523012552,-0.027196652719665274
KOSPI_R17_CONTROL,control,train,2023-07-17,023810,인팩,KOSPI,UNKNOWN,2023-07-24,2023-07-25,2023-08-07,-0.123,-12300000.0,STOP,0.38176197836166925,0.3005025125628141,0.25507185464185844,control,,,0.930379746835443,0.06962025316455696,0.0864,0.14856007104495283,0.5754204691255768,4308608080.0,0.0336996336996337,0.07252747252747253,0.12527472527472527,-0.04322344322344322,-0.0989010989010989,0.12527472527472527,-0.12967032967032968,-0.24761904761904763,0.12527472527472527,-0.26593406593406593,-0.4,0.12527472527472527,-0.41904761904761906
