model,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,entry_ma20_dist,entry_trade_amount
BULL_V4_BALANCED_PAPER_ap06,2025-01-09,65680,우주일렉트로,2025-01-16,2025-01-17,2025-04-18,0.4915511157239232,49155111.572392315,MAX,0.3684765419082762,0.26214238190286093,0.15361590038314177,8937503080.0
BULL_V4_BALANCED_PAPER_ap06,2025-01-09,460930,현대힘스,2025-01-16,2025-01-17,2025-03-07,-0.1037502679528403,-10375026.79528403,MAX,0.2610192837465565,0.353215284249767,0.28113879003558717,23733939600.0
BULL_V4_BALANCED_PAPER_ap06,2025-01-10,365330,에스와이스틸텍,2025-01-17,2025-01-20,2025-01-23,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.29152542372881357,1.002262443438914,0.05685698879635732,14455962360.0
BULL_V4_BALANCED_PAPER_ap06,2025-02-11,017810,풀무원,2025-02-18,2025-02-19,2025-03-31,0.046213943950786054,4621394.395078605,TRAIL,0.26495079485238454,0.28377065111758987,0.21628989640565366,7022930000.0
BULL_V4_BALANCED_PAPER_ap06,2025-02-17,100840,SNT에너지,2025-02-24,2025-02-25,2025-03-26,-0.012708737864077668,-1270873.7864077669,TRAIL,0.26455026455026454,0.974233983286908,0.1309146837962544,22967937500.0
BULL_V4_BALANCED_PAPER_ap06,2025-02-27,288330,브릿지바이오테라퓨틱스,2025-03-07,2025-03-10,2025-04-15,0.2708336713995943,27083367.13995943,TRAIL,0.363,0.4749262536873156,0.06325635470062886,4199149630.0
BULL_V4_BALANCED_PAPER_ap06,2025-05-09,82270,젬백스,2025-05-16,2025-05-19,2025-07-02,0.6749431664411367,67494316.64411367,MAX,0.30303030303030304,0.6844547563805105,0.05553200508690123,4682830950.0
BULL_V4_BALANCED_PAPER_ap06,2025-05-26,004690,삼천리,2025-06-02,2025-06-04,2025-07-17,0.1730409057706355,17304090.57706355,MAX,0.2561078348778433,0.3188888888888889,0.23995195417167145,4946746200.0
BULL_V4_BALANCED_PAPER_ap06,2025-06-04,64350,현대로템,2025-06-12,2025-06-13,2025-07-25,0.07010420076377523,7010420.076377523,MAX,0.3529788597053171,0.7578828828828829,0.2993022667293301,265123629600.0
BULL_V4_BALANCED_PAPER_ap06,2025-06-16,458870,씨어스테크놀로지,2025-06-23,2025-06-24,2025-09-17,1.5487241379310346,154872413.79310346,MAX,0.2785542168674699,0.45614035087719296,0.1650985951797912,4306407400.0
BULL_V4_BALANCED_PAPER_ap06,2025-06-18,200230,텔콘RF제약,2025-06-25,2025-06-26,2025-06-27,0.014222820236813778,1422282.0236813778,TRAIL,0.3721881390593047,0.3564493758668516,0.8238057051208615,42269884520.0
BULL_V4_BALANCED_PAPER_ap06,2025-07-01,37270,YG PLUS,2025-07-08,2025-07-09,2025-07-18,-0.123,-12300000.0,STOP,0.32690124858115777,0.7514910536779325,0.11243195895639116,27407123240.0
BULL_V4_BALANCED_PAPER_ap06,2025-07-08,484870,엠앤씨솔루션,2025-07-15,2025-07-16,2025-07-29,-0.123,-12300000.0,STOP,0.3422818791946309,0.9151670951156813,0.17688490475428206,9381887200.0
BULL_V4_BALANCED_PAPER_ap06,2025-07-23,44490,태웅,2025-07-30,2025-07-31,2025-08-01,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.396078431372549,1.433206106870229,0.1356377315636312,11184440000.0
BULL_V4_BALANCED_PAPER_ap06,2025-07-29,298040,효성중공업,2025-08-05,2025-08-06,2025-08-08,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.38360402165506574,1.4865384615384616,0.1540712067335824,100975448000.0
BULL_V4_BALANCED_PAPER_ap06,2025-09-08,45970,코아시아,2025-09-15,2025-09-16,2025-09-26,-0.123,-12300000.0,STOP,0.28559322033898304,0.5629139072847682,0.20804210889636723,10483886000.0
BULL_V4_BALANCED_PAPER_ap06,2025-09-09,64290,인텍플러스,2025-09-16,2025-09-17,2025-09-26,-0.012702850212249848,-1270285.0212249847,TRAIL,0.3781094527363184,0.6398601398601399,0.2574348025011438,6703399370.0
BULL_V4_BALANCED_PAPER_ap06,2025-09-15,031210,서울보증보험,2025-09-22,2025-09-23,2025-11-11,0.04559813084112149,4559813.08411215,MAX,0.2569832402234637,0.30339805825242716,0.13484153351262987,4503974600.0
BULL_V4_BALANCED_PAPER_ap06,2025-09-22,199800,툴젠,2025-09-29,2025-09-30,2025-10-17,0.06557142857142857,6557142.857142857,TRAIL,0.3391959798994975,0.3400673400673401,0.27561744613767736,11434107600.0
BULL_V4_BALANCED_PAPER_ap06,2025-10-01,232140,와이씨,2025-10-15,2025-10-16,2025-11-05,-0.123,-12300000.0,STOP,0.2826388888888889,0.4342629482071713,0.1212764400204933,14096805240.0
BULL_V4_BALANCED_PAPER_ap06,2025-10-13,458870,씨어스테크놀로지,2025-10-20,2025-10-21,2025-12-09,0.4812681258549932,48126812.58549932,TRAIL,0.2936746987951807,1.1734860883797054,0.1185682326621924,4329627500.0
BULL_V4_BALANCED_PAPER_ap06,2025-10-22,67310,하나마이크론,2025-10-29,2025-10-30,2025-11-10,-0.123,-12300000.0,STOP,0.38410852713178295,1.4225352112676057,0.09752460483149418,66382471200.0
BULL_V4_BALANCED_PAPER_ap06,2025-10-22,000660,SK하이닉스,2025-10-29,2025-10-30,2025-12-11,0.009544802867383514,954480.2867383513,MAX,0.3509865005192108,0.7932960893854749,0.2698412698412698,2680091298000.0
BULL_V4_BALANCED_PAPER_ap06,2025-10-29,172670,에이엘티,2025-11-05,2025-11-06,2025-11-07,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.35094001790510293,0.6025824964131994,0.060423634336677814,4406326990.0
BULL_V4_BALANCED_PAPER_ap06,2025-11-03,174900,앱클론,2025-11-10,2025-11-11,2025-12-23,0.6186216216216216,61862162.16216216,MAX,0.2676991150442478,1.0695970695970696,0.16903790667595264,10496322000.0
BULL_V4_BALANCED_PAPER_ap06,2025-11-05,115180,큐리언트,2025-11-12,2025-11-13,2025-12-26,0.13272854291417166,13272854.291417167,MAX,0.36498800959232613,0.9781783681214421,0.19556553872907761,9908811000.0
BULL_V4_BALANCED_PAPER_ap06,2025-11-10,353200,대덕전자,2025-11-17,2025-11-18,2025-12-30,-0.0553138832997988,-5531388.32997988,MAX,0.3668076109936575,1.0170575692963753,0.24302015052197135,96293171200.0
