week,trades,pnl_krw,avg_trade_ret,wins,capital_return,model
2025W04,1,-6300000.0,-0.063,0,-0.0063,patched_ap06
2025W10,1,-10375026.79528403,-0.1037502679528403,0,-0.010375026795284029,patched_ap06
2025W13,1,-1270873.7864077669,-0.012708737864077668,0,-0.0012708737864077669,patched_ap06
2025W14,1,4621394.395078605,0.046213943950786054,1,0.004621394395078605,patched_ap06
2025W16,2,76238478.71235174,0.3811923935617587,2,0.07623847871235175,patched_ap06
2025W26,1,1422282.0236813778,0.014222820236813778,1,0.0014222820236813778,patched_ap06
2025W27,1,67494316.64411367,0.6749431664411367,1,0.06749431664411368,patched_ap06
2025W29,2,5004090.577063549,0.025020452885317748,1,0.005004090577063549,patched_ap06
2025W30,1,7010420.076377523,0.07010420076377523,1,0.007010420076377523,patched_ap06
2025W31,2,-18600000.0,-0.093,0,-0.0186,patched_ap06
2025W32,1,-6300000.0,-0.063,0,-0.0063,patched_ap06
2025W38,1,154872413.79310346,1.5487241379310346,1,0.15487241379310346,patched_ap06
2025W39,2,-13570285.021224985,-0.06785142510612492,0,-0.013570285021224985,patched_ap06
2025W42,1,6557142.857142857,0.06557142857142857,1,0.006557142857142857,patched_ap06
2025W45,2,-18600000.0,-0.093,0,-0.0186,patched_ap06
2025W46,2,-7740186.91588785,-0.03870093457943925,1,-0.00774018691588785,patched_ap06
2025W50,2,49081292.87223767,0.24540646436118835,2,0.04908129287223767,patched_ap06
2025W52,2,75135016.45357934,0.37567508226789664,2,0.07513501645357934,patched_ap06
2026W01,2,68179911.10504836,0.3408995555252418,1,0.06817991110504835,patched_ap06
2025W01,2,-2855750.487329435,-0.014278752436647172,1,-0.0028557504873294353,old_daily_momentum
2025W02,5,-22138356.238910474,-0.044276712477820945,2,-0.022138356238910473,old_daily_momentum
2025W03,5,7651996.793736037,0.015303993587472073,2,0.007651996793736037,old_daily_momentum
2025W04,5,958782.5264586508,0.0019175650529172973,3,0.0009587825264586508,old_daily_momentum
2025W05,1,8134920.634920635,0.08134920634920635,1,0.008134920634920636,old_daily_momentum
