trade_date,breadth_ma20,new_high_ratio,vol_surge_raw,vol_price_confirm,advance_ratio,total_volume,breadth_5d_chg,adv_ratio_chg,breadth_thrust,vol_ma20_total,vol_ma5_total,vol_surge,kospi_ret5,kospi_ret20,kosdaq_ret5,kosdaq_lead,momentum_div,lvrg_invrs_ratio,kospi_fwd5,kospi_fwd20
2010-01-29,0.1670061099796334,0.035641547861507125,0.9300963133544454,0.03971486761710794,0.14613034623217921,1315340835,0.1670061099796334,-0.3742778170331269,0.0,1433022984.9,1534985863.2,1.0711522978866352,-0.048635972333541,,-0.09162916620934403,-0.042993193875803026,,,-0.022035283912557935,0.007919222680553784
2010-02-01,0.1780264496439471,0.03763987792472025,0.7211973690528186,0.038657171922685654,0.4989827060020346,1075400077,0.1780264496439471,0.09796229783876931,0.0,1438384219.85,1400225566.0,0.9734711676314279,-0.03817506885402944,-0.05288478545403097,-0.06031223091610205,-0.022137162062072613,0.014709716600001532,,-0.03339682776823294,0.009959911356788975
2010-02-02,0.1958290946083418,0.04577822990844354,0.7888964184583234,0.04679552390640895,0.4491353001017294,1249876121,0.1958290946083418,0.0787271368364233,0.0,1435808132.2,1299391247.8,0.9049894750275742,-0.025364310405902257,-0.05608001798156881,-0.03329055490643029,-0.007926244500528035,0.03071570757566655,,-0.015866550529198276,0.014030492351846391
2010-02-03,0.24364191251271616,0.05035605289928789,0.8031379676935774,0.07019328585961343,0.6256358087487284,1322940394,0.24364191251271616,0.3171577699336109,0.0,1423673700.65,1260930150.6,0.8856876052597606,-0.006435022270344759,-0.05295193863908243,-0.0021493716476577163,0.004285650622687043,0.04651691636873767,,-0.027801513293953084,0.012105113249371469
2010-02-04,0.2728658536585366,0.061483739837398375,0.7879245448603819,0.07113821138211382,0.44613821138211385,1227775846,0.2728658536585366,-0.017089572070388692,0.0,1402532925.45,1238266654.6,0.8828788487818954,-0.015836291348794163,-0.03981704238320116,-0.00226130653266321,0.013574984816130953,0.023980751034407,,-0.011513096843642212,0.026985560683485676
2010-02-05,0.18689690198070086,0.04164550533265617,0.9076381880717083,0.043169121381411886,0.11731843575418995,1321908132,0.01989079200106747,-0.14723723329586114,0.0,1404696424.25,1239580114.0,0.8824540965581518,-0.022035283912557935,-0.07558722555832154,0.0016110518154539566,0.02364633572801189,0.0535519416457636,,0.016935525039563082,0.059797590484455654
2010-02-08,0.1792788217369223,0.0563737938039614,0.8155049487407309,0.047232097511427124,0.2610462163534789,1275186479,0.0012523720929752125,0.007855813086505958,0.0,1404040556.75,1279537394.4,0.9113250954529453,-0.03339682776823294,-0.08342384246688539,-0.029063745019920262,0.004333082748312678,0.05002701469865245,,0.031079540697711794,0.07048602837473195
2010-02-09,0.1934010152284264,0.050761421319796954,0.83495981052961,0.05482233502538071,0.49289340101522844,1284662832,-0.0024280793799154043,0.2412343913164025,0.0,1402660305.55,1286494736.6,0.9171819659468797,-0.015866550529198276,-0.07544270710686196,-0.026729279359606894,-0.010862728830408619,0.059576156577663686,,0.036256200294175756,0.05484275608249645
2010-02-10,0.19390862944162437,0.04568527918781726,0.7945901050518319,0.048223350253807105,0.4304568527918782,1229053876,-0.04973328307109179,0.1091921919045758,0.0,1399236104.6,1267717433.0,0.9060068053078167,-0.027801513293953084,-0.060601528051166476,-0.04665062485445948,-0.018849111560506393,0.03280001475721339,,0.032526176343209645,0.05898912185055938
2010-02-11,0.2463179278821737,0.05027932960893855,0.8476278468490653,0.06500761808024377,0.6439817166074149,1133119974,-0.02654792577636292,0.15672381650547806,0.0,1390365405.0,1248786258.6,0.8981712678617747,-0.011513096843642212,-0.05217793649192948,-0.03529434554365307,-0.02378124870001086,0.040664839648287265,,-0.0024470994673958524,0.032350529787646964
2010-02-12,0.3057389537836465,0.051295073641442354,0.811904784762942,0.057897409852717116,0.537328593194515,1024456239,0.11884205180294566,0.39119824696233574,0.0,1374631935.95,1189295880.0,0.8651740505199922,0.016935525039563082,-0.06354448231284515,0.01308884733699256,-0.0038466777025705223,0.08048000735240823,,0.020983145714895235,0.03410388665085384
2010-02-16,0.3712544438801422,0.06957846622651091,0.7479246955363389,0.05840528186896902,0.5175215845606908,956971852,0.19197562214321992,0.018538878558656158,0.0,1357303588.05,1125652954.6,0.8293302725421908,0.031079540697711794,-0.0646870509060744,0.04419277405059385,0.013113233352882059,0.0957665916037862,,0.017394834639767653,0.05109771712313793
2010-02-17,0.45505332656170644,0.07770441848654139,0.9435363536030776,0.08532249873031995,0.5733875063484002,1251597385,0.26165231133328004,0.12425220624667077,0.0,1346060652.95,1119039865.2,0.8313443103381221,0.036256200294175756,-0.048408976622890565,0.04877850162866437,0.012522301334488617,0.08466517691706632,,-0.008971199990168599,0.029334595036345723
2010-02-18,0.4718131030980193,0.08430675469781615,0.8718203721102991,0.0792280345352971,0.37480954799390553,1142082208,0.2779044736563949,-0.25082626075482284,0.0,1315818911.8,1101645531.6,0.8372318726541045,0.032526176343209645,-0.054357843651932525,0.0448827552515878,0.012356578908378157,0.08688401999514217,,-0.020774862909344383,0.04004465855328476
2010-02-19,0.3822335025380711,0.07918781725888324,1.0540394904134356,0.07563451776649746,0.2065989847715736,1310803534,0.1359155746558974,-0.23953922661054025,0.0,1304144937.3,1137182243.6,0.8719753541767631,-0.0024470994673958524,-0.07439561907305992,0.012810987731169954,0.015258087198565806,0.07194851960566406,,0.00042662651358282844,0.04941966246314067
2010-02-22,0.5213414634146342,0.08841463414634146,0.995293376549575,0.09806910569105691,0.6824186991869918,1108911448,0.21560250963098765,0.5651002634328018,0.0,1279483785.65,1154073285.4,0.9019835173711958,0.020983145714895235,-0.03398937275506875,0.01661109788044768,-0.004372047834447557,0.05497251846996398,,-0.007362792698666354,0.033630385348165426
2010-02-23,0.5675813008130082,0.10365853658536585,1.0045367980323665,0.09857723577235772,0.45934959349593496,1200005420,0.19632685693286595,0.19830337714245605,0.0,1252023978.5,1202679999.0,0.9605886306114384,0.017394834639767653,-0.02472757753562449,0.00972590627763048,-0.007668928362137173,0.04212241217539214,,-0.00396586653569897,0.03199091411381905
2010-02-24,0.5619918699186992,0.10823170731707317,1.0077399074994446,0.07672764227642276,0.3678861788617886,1247967756,0.10693854335699277,-0.12500722215343985,0.0,1226719980.7,1201954073.2,0.9798112789474026,-0.008971199990168599,-0.014969401590384401,-0.0021740818386520866,0.0067971181515165124,0.005998201600215802,,0.0033295511616227014,0.046849326959444104
2010-02-25,0.46189024390243905,0.12042682926829268,1.209269962031761,0.08079268292682927,0.22865853658536586,1333864819,-0.00992285919558028,-0.2017983162065123,0.0,1217650927.65,1240310595.4,1.0186093298460601,-0.020774862909344383,-0.023359253881930275,-0.01694816200105209,0.003826700908292291,0.0025843909725858927,,0.02964390775491177,0.06942318473584419
2010-02-26,0.5241239207719655,0.08735398679532758,0.9227139257920013,0.06957846622651091,0.5093956323006602,1085125129,0.14189041823389437,-0.13458608430675467,0.0,1204852517.8,1195174914.4,0.9919678107842853,0.00042662651358282844,-0.029133661708566017,0.005234045084161032,0.0048074185705782035,0.029560288222148845,,0.04105156216684014,0.06108818623085699
2010-03-02,0.5513211382113821,0.13719512195121952,1.0908250713831789,0.10060975609756098,0.4791666666666667,1176722270,0.0299796747967479,-0.058161926527848296,0.0,1197921589.55,1208737078.8,1.0090285452272907,-0.007362792698666354,0.007919222680553784,-0.00837481698389464,-0.0010120242852282857,-0.015282015379220137,,0.02830130268958353,0.05267100896527821
2010-03-03,0.5378364652107669,0.09903504316912139,1.0311201435875155,0.08125952260030472,0.39867953275774504,1293019725,-0.029744835602241282,-0.11884205180294571,0.0,1208802571.95,1227339939.8,1.015335314699154,-0.00396586653569897,0.009959911356788975,-0.008309009534928968,-0.004343142999229999,-0.013925777892487945,,0.024530953378861353,0.043397598678533544
