week,trades,pnl_krw,avg_trade_ret,wins,capital_return,model
2026W06,1,-5067309.875141884,-0.050673098751418844,0,-0.005067309875141884,patched_ap06
2026W10,10,189825138.96136704,0.18982513896136705,8,0.18982513896136705,patched_ap06
2026W17,1,-6300000.0,-0.063,0,-0.0063,patched_ap06
2026W21,2,89094915.2542373,0.4454745762711865,1,0.0890949152542373,patched_ap06
2026W22,1,54876470.5882353,0.5487647058823529,1,0.0548764705882353,patched_ap06
