scope,variant,period,regime,signal_date,asset_code,asset_name,exchange,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,sig_ma60_dist,entry_candle_loc,entry_upper_shadow,entry_body_ret,entry_ma20_dist,entry_vol_exp,entry_trade_amount,next_body_ret,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_60d,max_60d,min_60d
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2012-09-07,000300,대유신소재,KOSPI,2012-09-14,2012-09-17,2012-09-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2574712643678161,0.20498614958448755,0.0758006677383455,1.0,0.0,0.0016666666666666668,0.3597285067873303,2.9005344468837078,42321022675.0,0.021487603305785124,-0.2231404958677686,0.06446280991735537,-0.2578512396694215,-0.28429752066115704,0.06446280991735537,-0.33884297520661155,-0.3851239669421488,0.06446280991735537,-0.41983471074380163,-0.5289256198347108,0.06446280991735537,-0.5669421487603306
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2012-09-18,105630,한세실업,KOSPI,2012-09-25,2012-09-26,2012-12-07,0.13132835820895522,13132835.820895523,TRAIL,0.2596899224806202,0.205607476635514,0.21763206745744573,0.9285714285714286,0.07142857142857142,0.03076923076923077,0.07630522088353414,1.099556048770412,5093098800.0,0.022388059701492536,0.11940298507462686,0.16417910447761194,-0.011194029850746268,0.12313432835820895,0.16417910447761194,-0.011194029850746268,0.13432835820895522,0.2462686567164179,-0.011194029850746268,0.1865671641791045,0.44029850746268656,-0.011194029850746268
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2013-05-13,002780,진흥기업,KOSPI,2013-05-21,2013-05-22,2013-05-23,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2631578947368421,1.2810734463276836,0.7544812601846822,1.0,0.0,0.1780821917808219,0.41961043248596896,4.463397626602849,6333229200.0,0.03296703296703297,0.5010989010989011,0.6131868131868132,-0.07252747252747253,0.23076923076923078,0.6131868131868132,-0.07252747252747253,0.0967032967032967,0.6131868131868132,-0.08131868131868132,-0.06593406593406594,0.6131868131868132,-0.08791208791208792
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2013-05-16,004960,한신공영,KOSPI,2013-05-24,2013-05-27,2013-06-07,-0.123,-12300000.0,STOP,0.3008695652173913,0.29504504504504503,0.25818274648529393,1.0,0.0,0.036734693877551024,0.24699297952771368,1.2394867330993717,3593325300.0,0.01568627450980392,0.043137254901960784,0.09411764705882353,-0.00784313725490196,-0.00392156862745098,0.09411764705882353,-0.12156862745098039,-0.09019607843137255,0.09411764705882353,-0.13333333333333333,0.00392156862745098,0.14901960784313725,-0.13333333333333333
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2013-07-16,000420,로케트전기,KOSPI,2013-07-23,2013-07-24,2013-08-08,-0.123,-12300000.0,STOP,0.2733812949640288,0.7245657568238213,0.2490826581197862,1.0,0.0,0.149812734082397,0.20866141732283464,2.7829277111646302,28132270420.0,0.03571428571428571,-0.07467532467532467,0.10064935064935066,-0.11363636363636363,-0.11038961038961038,0.10064935064935066,-0.11688311688311688,-0.32142857142857145,0.10064935064935066,-0.34415584415584416,-0.33116883116883117,0.10064935064935066,-0.37662337662337664
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2013-08-06,011200,현대상선,KOSPI,2013-08-13,2013-08-14,2013-08-20,-0.027553571428571427,-2755357.1428571427,TRAIL,0.27899686520376177,0.5336538461538461,0.15508563565919542,1.0,0.0,0.16052631578947368,0.32293385330733465,3.1807367917102476,166931950500.0,0.029017857142857144,0.015625,0.25223214285714285,-0.05580357142857143,-0.1875,0.25223214285714285,-0.20982142857142858,-0.11160714285714286,0.25223214285714285,-0.20982142857142858,-0.49776785714285715,0.25223214285714285,-0.5133928571428571
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2014-06-30,002450,삼익악기,KOSPI,2014-07-07,2014-07-08,2014-07-28,-0.123,-12300000.0,STOP,0.25318066157760816,0.31,0.1730759663698324,1.0,0.0,0.061068702290076333,0.047607084537118455,1.0775678703069722,28750031640.0,0.010895883777239709,0.007263922518159807,0.044794188861985475,-0.04721549636803874,-0.023002421307506054,0.044794188861985475,-0.04721549636803874,-0.09443099273607748,0.044794188861985475,-0.2457627118644068,0.03753026634382567,0.07990314769975787,-0.2457627118644068
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2014-07-22,084680,이월드,KOSPI,2014-07-29,2014-07-30,2014-08-11,0.07070517928286853,7070517.928286852,TRAIL,0.30971128608923887,1.1871412169919633,0.5665259580066883,1.0,0.0,0.08843537414965986,0.34793597304128054,1.6635526420356435,19990039200.0,0.099601593625498,0.17330677290836655,0.38645418326693226,-0.029880478087649404,0.14342629482071714,0.38645418326693226,-0.029880478087649404,-0.02390438247011952,0.5039840637450199,-0.037848605577689244,-0.13545816733067728,0.5039840637450199,-0.22709163346613545
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2014-07-24,002020,코오롱,KOSPI,2014-07-31,2014-08-01,2014-08-18,-0.123,-12300000.0,STOP,0.3709150326797386,0.38461538461538464,0.30430149540013507,0.9565217391304348,0.043478260869565216,0.057432432432432436,0.11288888888888889,1.3389355595729262,5606549900.0,0.021103896103896104,-0.025974025974025976,0.02922077922077922,-0.07142857142857142,-0.09090909090909091,0.02922077922077922,-0.12012987012987013,-0.125,0.02922077922077922,-0.14935064935064934,-0.19155844155844157,0.02922077922077922,-0.28084415584415584
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2014-08-25,001040,CJ,KOSPI,2014-09-01,2014-09-02,2014-10-13,-0.123,-12300000.0,STOP,0.2786885245901639,0.2708333333333333,0.21722742641760442,0.9230769230769231,0.07692307692307693,0.01971830985915493,0.07338769458858414,0.7081600965803266,11169329000.0,0.013888888888888888,-0.030555555555555555,0.05555555555555555,-0.03611111111111111,-0.008333333333333333,0.05555555555555555,-0.05555555555555555,-0.06111111111111111,0.07222222222222222,-0.08055555555555556,-0.1111111111111111,0.07222222222222222,-0.1527777777777778
