trade_date,regime,confidence,risk_budget,allowed_strategy,bull_score,bear_score,stress_score,breadth_ma20,breadth_ma60,volatility_20,liquidity_trend,kospi_close,kospi_ma20,kospi_ma60,kosdaq_close,kosdaq_ma20,kosdaq_ma60
2012-05-24,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.17706131078224102,0.1569767441860465,0.015889123982555577,-0.2513310028021781,1814.47,1908.6169999999997,1978.2473333333335,455.72,476.6005,504.48716666666667
2012-05-25,BEAR,0.6,0.2,W4_RECOVER,1,6,3,0.22062732589048378,0.1722488038277512,0.01611160286863551,-0.2138542427621033,1824.17,1901.6235000000001,1975.2553333333335,462.4,475.88950000000006,503.188
2012-05-29,BEAR,0.6,0.2,W4_RECOVER,1,6,3,0.2669491525423729,0.18220338983050846,0.016546662175208178,-0.18540663816648906,1849.91,1895.3515,1972.2496666666668,470.02,475.4365000000001,501.98333333333335
2012-05-30,BEAR,0.6,0.2,W4_RECOVER,1,6,3,0.2698412698412698,0.18571428571428572,0.016546357987029102,-0.12049254606630011,1844.86,1888.4950000000001,1969.0868333333335,469.62,474.97299999999996,500.7441666666667
2012-05-31,BEAR,0.5,0.2,W4_RECOVER,2,5,3,0.291932059447983,0.1926751592356688,0.01624532682797761,0.010492992271169177,1843.47,1880.7150000000001,1966.2103333333332,471.94,474.293,499.6141666666666
2012-06-01,BEAR,0.6,0.2,W4_RECOVER,1,6,3,0.317989417989418,0.20105820105820105,0.016205030796468584,-0.1827564143975845,1834.51,1872.6850000000002,1963.4461666666668,472.13,473.5275,498.58933333333334
2012-06-04,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.17790759426447159,0.14551248008497078,0.01877761449512334,0.0675909914978019,1783.13,1862.384,1960.1291666666668,450.84,471.54299999999995,497.2286666666667
2012-06-05,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.22503961965134706,0.16904384574749076,0.019136723177200922,-0.15302319889513516,1801.85,1854.6544999999999,1956.8139999999999,456.68,470.02649999999994,495.91066666666666
2012-06-07,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.32612137203166225,0.20105540897097626,0.019437092419594442,0.05949520993891588,1847.95,1848.7015000000004,1953.9748333333332,466.18,468.6055,494.6878333333333
2012-06-08,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.3386411889596603,0.1942675159235669,0.019473401928165966,-0.13142456228964017,1835.64,1842.9690000000003,1951.1938333333333,461.99,467.12699999999995,493.4525
2012-06-11,SIDEWAYS,0.55,0.5,W4_RESTRICT,4,4,0,0.45536185948230323,0.22820919175911253,0.01987204066522902,0.0070046211888006304,1867.04,1839.0745000000002,1948.5605,469.59,465.89300000000003,492.30466666666666
2012-06-12,BEAR,0.5,0.2,W4_RECOVER,3,5,0,0.5023847376788553,0.23317435082140964,0.019940816979139,-0.09484872772738795,1854.74,1835.955,1945.3881666666666,471.97,464.8085,491.1898333333333
2012-06-13,BEAR,0.5,0.2,W4_RECOVER,3,5,0,0.5445859872611465,0.23938428874734607,0.0198443315746324,-0.06243212767797379,1859.32,1833.2345,1942.3141666666668,470.96,463.93,490.06733333333335
2012-06-14,SIDEWAYS,0.55,0.5,W4_RESTRICT,5,4,0,0.5790870488322718,0.2510615711252654,0.01954887253487246,0.11938211873618276,1871.48,1831.8605000000002,1939.5981666666667,472.03,463.50649999999996,488.93816666666663
2012-06-15,SIDEWAYS,0.55,0.5,W4_RESTRICT,4,4,0,0.5420412480169222,0.24484399788471709,0.01822346809157536,0.11135114083974629,1858.16,1832.7419999999997,1936.4508333333333,467.75,463.64349999999996,487.7368333333333
2012-06-18,SIDEWAYS,0.55,0.5,W4_RESTRICT,5,4,0,0.6654334038054969,0.2912262156448203,0.018509907080252172,0.032308200732952264,1891.71,1835.0655,1933.9435,475.26,464.0,486.732
2012-06-19,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,3,0,0.6629452418926103,0.30249867091972354,0.015596747617814889,-0.013592810983828363,1891.77,1840.5310000000002,1931.6858333333332,478.36,465.48400000000004,485.8058333333334
2012-06-20,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,3,0,0.712241653418124,0.34181240063593005,0.0157253267133089,-0.03853947957198944,1904.12,1845.7805,1929.6525000000001,484.55,467.26699999999994,485.0833333333333
2012-06-21,BULL,0.6,1.0,W4_BREAKOUT,8,1,0,0.7155768208399788,0.3567251461988304,0.014676006636402766,0.02518096417820037,1889.15,1848.8035,1927.3578333333332,485.18,468.45349999999996,484.37850000000003
2012-06-22,BULL,0.5,1.0,W4_BREAKOUT,7,1,1,0.6455897980871413,0.3427205100956429,0.014285462227019813,0.03935436520857327,1847.39,1850.7419999999997,1924.4945,485.19,469.918,483.7418333333333
2012-06-25,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,2,1,0.6078639744952179,0.35069075451647186,0.014303083651206208,-0.014073725441253182,1825.38,1851.2875000000004,1920.9215000000002,484.44,471.354,483.12016666666665
2012-06-26,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,2,1,0.582271762208068,0.3641188959660297,0.014058215617408101,-0.1001489812679146,1817.81,1850.9695,1917.356,484.34,472.451,482.53316666666666
2012-06-27,BULL,0.5,1.0,W4_BREAKOUT,7,1,2,0.579978813559322,0.3686440677966102,0.013698008244070702,0.03804936024515482,1817.65,1849.3565000000003,1914.0766666666666,483.03,473.10149999999993,482.0135
2012-06-28,SIDEWAYS,0.6,0.5,W4_RESTRICT,5,3,2,0.594017094017094,0.38301282051282054,0.01372229993270525,-0.14370174466839103,1819.18,1848.0725000000002,1910.8290000000002,485.91,473.916,481.4526666666667
2012-06-29,BULL,0.5,1.0,W4_BREAKOUT,7,2,0,0.6518282988871225,0.4160042395336513,0.013748917901205623,0.06324244806668156,1854.01,1848.5994999999998,1907.9076666666665,489.16,474.77699999999993,480.90866666666665
2012-07-02,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,3,0,0.6904255319148936,0.4377659574468085,0.013745221732395894,-0.09628402783834211,1851.65,1849.4564999999998,1904.6138333333333,490.43,475.692,480.48533333333336
2012-07-03,BULL,0.6,1.0,W4_BREAKOUT,8,1,0,0.7202127659574468,0.4723404255319149,0.011818694298891156,0.16291025740893117,1867.82,1853.691,1902.1006666666665,493.91,477.8455,480.33433333333335
2012-07-04,BULL,0.6,1.0,W4_BREAKOUT,8,1,0,0.7354976051091006,0.506652474720596,0.011668938611014302,0.10889107107743534,1874.45,1857.3210000000004,1899.5286666666666,495.81,479.802,480.2088333333333
2012-07-05,BULL,0.5,1.0,W4_BREAKOUT,7,2,0,0.7253333333333334,0.5365333333333333,0.010269307274764187,-0.0643873813178546,1875.49,1858.6979999999999,1896.9696666666669,497.34,481.36,480.10766666666666
2012-07-06,SIDEWAYS,0.55,0.5,W4_RESTRICT,6,2,1,0.6850477200424178,0.5307529162248145,0.010382278131126467,-0.01004798551359476,1858.2,1859.8259999999998,1894.655,497.21,483.121,480.2811666666667
