cadence_days,period,regime,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason
4,pre,BULL,2019-12-18,293780,압타바이오,2019-12-27,2020-01-15,-0.123,STOP
4,pre,BULL,2020-02-07,026890,디피씨,2020-02-17,2020-02-19,-0.063,EARLY_FAIL_CLOSE
4,pre,BULL,2020-08-11,021080,에이티넘인베스트,2020-08-20,2020-09-10,-0.07238775510204082,TRAIL
4,pre,BULL,2020-10-13,001470,삼부토건,2020-10-21,2020-11-03,0.2558235294117647,TRAIL
4,pre,BULL,2021-01-14,084730,팅크웨어,2021-01-22,2021-02-01,-0.123,STOP
4,pre,BULL,2021-07-02,069410,엔텔스,2021-07-12,2021-07-22,0.007948905109489052,TRAIL
4,train,SIDEWAYS,2022-07-20,388050,지투파워,2022-07-28,2022-08-09,-0.123,STOP
4,train,BULL,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
4,train,BULL,2024-01-02,234340,헥토파이낸셜,2024-01-10,2024-01-17,-0.123,STOP
4,train,BULL,2024-02-29,028300,HLB,2024-03-11,2024-03-13,-0.123,STOP
4,train,BULL,2024-05-07,106190,하이텍팜,2024-05-16,2024-06-28,0.23491250959324636,MAX
4,train,BULL,2025-01-09,065680,우주일렉트로,2025-01-17,2025-04-18,0.4915511157239232,MAX
4,post,BULL,2025-09-17,089890,코세스,2025-09-25,2025-11-25,0.56575,TRAIL
5,pre,BULL,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
5,pre,BULL,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE
5,pre,SIDEWAYS,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX
5,pre,SIDEWAYS,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL
5,pre,SIDEWAYS,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_CLOSE
5,pre,BULL,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL
5,pre,BULL,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
5,pre,BULL,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
5,pre,BULL,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
5,pre,BULL,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
5,pre,SIDEWAYS,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
5,pre,SIDEWAYS,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL
5,pre,BULL,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
5,pre,BULL,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
5,pre,BULL,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
5,pre,BULL,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-17,-0.063,EARLY_FAIL_CLOSE
5,pre,BULL,2019-04-11,043370,평화정공,2019-04-19,2019-04-26,-0.123,STOP
5,pre,BULL,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
5,pre,BULL,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
5,pre,BULL,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
5,pre,BULL,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
5,pre,BULL,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
5,pre,BULL,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL_CLOSE
5,train,BULL,2022-11-14,004360,세방,2022-11-22,2023-02-17,1.095434004474273,MAX
5,train,BULL,2023-03-24,009730,코센,2023-04-03,2023-05-04,0.6176896551724138,TRAIL
5,train,BULL,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL
5,train,BULL,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
5,train,BULL,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
5,post,BULL,2025-09-17,089890,코세스,2025-09-25,2025-11-25,0.56575,TRAIL
7,pre,BULL,2012-09-25,069620,대웅제약,2012-10-05,2012-11-16,0.22526086956521738,MAX
7,pre,BULL,2013-02-28,025880,케이씨피드,2013-03-11,2013-03-14,-0.063,EARLY_FAIL_CLOSE
7,pre,SIDEWAYS,2013-10-04,099440,SMEC,2013-10-15,2013-11-06,-0.04590822407628129,TRAIL
7,pre,BULL,2014-07-02,036090,위지트,2014-07-10,2014-07-23,0.106375,TRAIL
7,pre,BULL,2014-09-01,035480,제이비어뮤즈먼트,2014-09-12,2014-09-16,-0.049936114732724905,TRAIL
7,pre,BULL,2015-02-16,204440,대우스팩2호,2015-02-27,2015-05-20,-0.123,STOP
7,pre,BULL,2015-07-01,206640,엔에이치스팩2호,2015-07-09,2015-08-18,-0.123,STOP
7,pre,BULL,2017-06-27,121850,코이즈,2017-07-05,2017-07-18,0.029085561497326207,TRAIL
7,pre,BULL,2017-07-26,134780,화진,2017-08-03,2017-08-10,-0.123,STOP
7,pre,SIDEWAYS,2018-04-16,215200,메가스터디교육,2018-04-24,2018-06-11,0.23283460949464013,MAX
7,pre,BULL,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-17,-0.063,EARLY_FAIL_CLOSE
7,pre,BULL,2020-01-15,066310,큐에스아이,2020-01-23,2020-02-27,-0.07791856677524431,TRAIL
7,pre,BULL,2020-07-17,033560,블루콤,2020-07-27,2020-08-18,-0.123,STOP
7,pre,BULL,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
7,train,BULL,2023-07-21,005490,POSCO홀딩스,2023-07-31,2023-08-02,-0.063,EARLY_FAIL_CLOSE
7,train,BULL,2024-03-20,041910,에스텍파마,2024-03-28,2024-04-01,-0.063,EARLY_FAIL_CLOSE
7,train,BULL,2025-01-10,365330,에스와이스틸텍,2025-01-20,2025-01-23,-0.063,EARLY_FAIL_CLOSE
7,train,BULL,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
7,post,BULL,2025-09-09,064290,인텍플러스,2025-09-17,2025-09-26,-0.012702850212249848,TRAIL
7,post,BULL,2025-09-29,241770,메카로,2025-10-14,2025-11-18,0.062375302663438256,TRAIL
10,pre,BULL,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
10,pre,BULL,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL_CLOSE
10,pre,SIDEWAYS,2013-07-18,006840,AK홀딩스,2013-07-26,2013-09-09,0.1347840909090909,MAX
10,pre,SIDEWAYS,2013-10-04,099440,SMEC,2013-10-15,2013-11-06,-0.04590822407628129,TRAIL
10,pre,SIDEWAYS,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL_CLOSE
10,pre,BULL,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL
10,pre,BULL,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
10,pre,BULL,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
10,pre,BULL,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
10,pre,SIDEWAYS,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP
10,pre,BULL,2019-11-18,027360,아주IB투자,2019-11-26,2020-01-10,-0.003,MAX
10,pre,BULL,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
10,pre,BULL,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
10,pre,BULL,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL_CLOSE
10,train,BULL,2023-05-31,356860,티엘비,2023-06-09,2023-07-21,0.12958426966292136,TRAIL
10,train,BULL,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
10,train,BULL,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
10,post,BULL,2025-09-17,089890,코세스,2025-09-25,2025-11-25,0.56575,TRAIL
