period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,peak_ret,ret20,ret60,ret120,high60_ratio,range20,volume_expansion,candle_location,upper_shadow,ma20_dist,ma60_dist,ma120_dist,ma20_slope5,ma60_slope5
pre,2019-01-02,003780,진양산업,2019-01-09,2019-02-22,-0.30904288499025345,STOP,0.1072124756335282,0.4611260053619304,0.6615853658536586,0.8381112984822934,0.9855334538878843,0.5192307692307693,0.6675869752578768,0.9375,0.0625,0.1232481450948062,0.44354927712173065,0.565810738014006,0.09310053506054627,0.03820065080892787
pre,2019-02-25,041520,이라이콤,2019-03-05,2019-05-16,-0.309872037914692,STOP,0.007109004739336511,0.38743455497382207,0.5618860510805501,0.25,0.9730722154222766,0.44346289752650175,0.8910636133535184,1.0,0.0,0.11767186840995358,0.32481599777808645,0.3728890391935358,0.07650397275822929,0.03587663271764763
pre,2019-05-23,230360,에코마케팅,2019-05-30,2019-07-29,-0.3328969072164949,STOP,0.15463917525773185,0.4057450628366248,1.9547169811320755,2.132,0.9702602230483272,0.5371428571428571,0.5283353071236276,0.96,0.04,0.15691489361702127,0.45986762375314627,0.9904249459814429,0.07753542429549443,0.08328003500858383
pre,2019-08-02,051380,피씨디렉트,2019-08-09,2019-11-21,0.10894029850746267,MAX,0.20597014925373136,0.21333333333333337,0.48419979612640174,0.4887525562372188,0.9972602739726028,0.2966252220248668,2.667183860837584,1.0,0.0,0.1601593625498008,0.2774731300723843,0.3658429812149686,0.033261979252428686,0.02192235273020704
pre,2019-11-22,044480,바이오제네틱스,2019-11-29,2019-12-24,-0.3102139303482587,STOP,0.17288557213930345,0.17691154422788613,0.5242718446601942,0.06802721088435382,0.9235294117647059,0.2781954887218045,0.6200695653125003,1.0,0.0,0.054257319366102674,0.15009889385393005,0.19935830511064134,0.024068216201347914,0.028788906473735665
pre,2019-12-30,012340,뉴인텍,2020-01-08,2020-04-17,0.247,MAX,0.46103896103896114,0.22058823529411775,2.0458715596330275,1.0393120393120392,0.8972972972972973,0.35036496350364965,0.618069117645778,1.0,0.0,0.04124196330562957,0.11500442195528793,0.633751066203005,0.03037647439004676,0.06044993173858848
pre,2020-04-20,012340,뉴인텍,2020-04-27,2020-08-05,-0.1731030927835051,MAX,0.12371134020618557,0.2477064220183487,0.33333333333333326,0.3783783783783783,0.9066666666666666,0.4950166112956811,1.3309656934915175,1.0,0.0,0.09076326694292214,0.14072693383038226,0.23287671232876717,0.03917210723711628,0.01831640884502228
pre,2020-08-06,100130,동국S&C,2020-08-13,2020-08-18,-0.15642465753424661,EARLY,0.004109589041095818,0.2064516129032259,1.838709677419355,1.8067542213883678,0.9133089133089133,0.4194107452339688,0.2175264174593012,1.0,0.0,0.07594936708860756,0.4500105002988548,1.0513289302283062,0.0727567317336626,0.08191764541387014
pre,2020-09-04,28513K,SK케미칼우,2020-09-11,2020-09-24,-0.30734782608695654,STOP,0.08695652173913038,0.18232044198895037,3.7928331466965286,7.199233716475096,0.823076923076923,0.48148148148148145,0.38215449091787035,1.0,0.0,0.048377219840783914,0.5984662691249516,1.5828384066461822,0.03446091473457491,0.11540491001999564
pre,2020-10-07,051980,센트럴바이오,2020-10-15,2021-01-25,0.6058235294117648,MAX,0.9352941176470588,0.3284132841328413,1.773497688751926,0.9693654266958425,0.9278350515463918,0.4317343173431734,0.4355629904958779,0.6875,0.0625,0.0735052929774862,0.6420610907542836,1.0086483470497978,0.09305736636245121,0.09611025931604567
pre,2021-01-26,001530,DI동일,2021-02-02,2021-05-14,-0.05389058524173029,MAX,0.03053435114503822,0.4178571428571429,1.3408018867924527,1.664429530201342,0.9875621890547264,0.4833948339483395,0.7015119215237482,0.9565217391304348,0.043478260869565216,0.16388155965992368,0.6317080187968378,0.9072936767849851,0.10441962117532788,0.08013199952645911
pre,2021-05-17,323230,엠에프엠코리아,2021-05-25,2021-08-18,-0.3633988603988604,STOP,0.30056980056980054,0.07242339832869082,0.896551724137931,1.010443864229765,0.9221556886227545,0.48312611012433393,0.2523615131188227,1.0,0.0,0.15260833769927395,0.5031722791605662,0.6536024911414153,0.06853806781829808,0.05509783728115347
pre,2021-08-25,213420,덕산네오룩스,2021-09-01,2021-12-14,-0.2325081967213115,MAX,0.040983606557376984,0.15672913117546838,0.5275590551181102,0.7103274559193955,0.941747572815534,0.2517361111111111,0.46005442323078494,0.5,0.0,0.03199331256174487,0.16745232329889803,0.33588005279251076,0.036794831389851845,0.03721262019052163
pre,2021-12-15,094170,동운아나텍,2021-12-22,2022-04-06,-0.14497530864197528,MAX,0.30246913580246915,0.2732394366197184,0.4236220472440946,0.2400548696844993,0.9988950276243094,0.3880368098159509,0.9133165685175205,0.9855072463768116,0.014492753623188406,0.16939395899359688,0.39180416206923097,0.345304826628305,0.08757737760270112,0.030134017075942987
pre,2022-04-07,083650,비에이치아이,2022-04-14,2022-07-25,0.06624315619967802,MAX,0.3446054750402576,0.28410256410256407,0.541871921182266,0.32346723044397474,0.9287833827893175,0.38256410256410256,0.4092307072084407,0.5,0.0,0.07210138722383963,0.3063211894617861,0.3669241477195184,0.06067211625794733,0.03964781602545564
train,2022-07-28,083650,비에이치아이,2022-08-04,2022-09-19,0.1428625525946704,TRAIL,0.6479663394109396,0.09335219236209324,0.33046471600688476,0.952020202020202,0.925748502994012,0.3253968253968254,0.5412928121970741,1.0,0.0,0.07742699839710077,0.26253896095057927,0.3478248234576151,0.018454113137909012,0.018153850417815587
train,2022-09-20,123750,알톤스포츠,2022-09-27,2022-09-27,-0.19985863874345555,EARLY,0.04607329842931929,0.26269035532994933,0.8290441176470589,-0.0030060120240480437,0.9604247104247104,0.4821173104434907,0.24764931600724402,0.9333333333333333,0.06666666666666667,0.11528330437706669,0.3271090363454485,0.26027802113129495,0.07139425963732426,0.04392926761347815
train,2022-10-05,004690,삼천리,2022-10-13,2023-01-19,0.6975444646098005,MAX,0.7241379310344827,0.34606205250596656,0.5580110497237569,1.6603773584905661,0.9877408056042032,0.3660287081339713,1.5149753700444986,0.5,0.07142857142857142,0.18363064008394536,0.3473483038700429,0.6004161838776041,0.06730876917907946,0.03575405171347268
