variant,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason
Kma60_ext30,train,2023-03-17,234920,자이글,2023-03-27,2023-04-04,1.1541428571428574,TRAIL
Kma60_ext30,train,2023-04-28,106080,하이소닉,2023-05-10,2023-06-02,-0.123,STOP
Kma60_ext30,train,2023-06-15,085620,미래에셋생명,2023-06-23,2023-08-04,0.020545706371191137,MAX
Kma60_ext30,train,2024-02-07,000540,흥국화재,2024-02-19,2024-02-22,-0.063,EARLY_FAIL
Kma60_ext30,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX
Kma60_ext30,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
Kma60_ext30,train,2025-05-09,082270,젬백스,2025-05-19,2025-07-02,0.6749431664411367,MAX
Kma60_ext30,post,2025-08-20,092460,한라IMS,2025-08-28,2025-09-22,0.21835007849293564,TRAIL
Kma60_ext30,post,2025-09-24,036010,아비코전자,2025-10-02,2025-10-14,-0.063,EARLY_FAIL
Kma60_ext30,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL
bma60_ext20,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
bma60_ext20,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP
bma60_ext20,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL
bma60_ext20,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-13,0.25672222222222224,TRAIL
bma60_ext20,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP
bma60_ext20,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL
bma60_ext20,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP
bma60_ext20,pre,2016-03-15,043710,로켓모바일,2016-03-23,2016-04-11,0.4328974358974359,TRAIL
bma60_ext20,pre,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,TRAIL
bma60_ext20,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL
bma60_ext20,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL
bma60_ext20,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP
bma60_ext20,pre,2019-03-07,025540,한국단자,2019-03-15,2019-04-26,-0.02652941176470588,MAX
bma60_ext20,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP
bma60_ext20,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL
bma60_ext20,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP
bma60_ext20,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL
bma60_ext20,pre,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,MAX
bma60_ext20,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-04,2021-06-07,-0.063,EARLY_FAIL
bma60_ext20,pre,2021-06-17,036170,클라우드에어,2021-06-25,2021-06-29,-0.063,EARLY_FAIL
bma60_ext20,train,2023-02-23,272290,이녹스첨단소재,2023-03-06,2023-03-09,-0.063,EARLY_FAIL
bma60_ext20,train,2023-03-17,234920,자이글,2023-03-27,2023-04-04,1.1541428571428574,TRAIL
bma60_ext20,train,2023-04-28,106080,하이소닉,2023-05-10,2023-06-02,-0.123,STOP
bma60_ext20,train,2023-06-15,085620,미래에셋생명,2023-06-23,2023-08-04,0.020545706371191137,MAX
bma60_ext20,train,2024-05-02,175140,휴먼테크놀로지,2024-05-13,2024-06-26,0.07497537619699042,MAX
bma60_ext20,train,2025-02-10,036530,SNT홀딩스,2025-02-18,2025-04-02,0.16164471403812825,MAX
bma60_ext20,train,2025-07-01,037270,YG PLUS,2025-07-09,2025-07-18,-0.123,STOP
bma60_ext20,post,2025-09-17,089890,코세스,2025-09-25,2025-09-30,-0.063,EARLY_FAIL
bma60_ext20,post,2025-10-15,089890,코세스,2025-10-23,2025-11-25,0.005032128514056224,TRAIL
bma60_ext25,pre,2012-08-14,038290,마크로젠,2012-08-23,2012-10-08,0.15869544740973313,MAX
bma60_ext25,pre,2012-10-12,064550,바이오니아,2012-10-22,2012-11-16,-0.123,STOP
bma60_ext25,pre,2013-02-22,048830,엔피케이,2013-03-05,2013-03-07,-0.063,EARLY_FAIL
bma60_ext25,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-13,0.25672222222222224,TRAIL
