variant,period,signal_date,asset_code,asset_name,entry_check_date,entry_date,exit_date,ret,reason,sig_range20,sig_ret60
next_body0_ts15_tp15_mh40,pre,2016-07-22,191420,테고사이언스,2016-07-29,2016-08-01,2016-08-05,-0.06857377049180328,TRAIL,0.37955465587044535,0.7963636363636364
next_body0_ts15_tp15_mh40,pre,2016-08-29,112240,에스에프씨,2016-09-05,2016-09-06,2016-09-19,0.006852216748768473,TRAIL,0.3973684210526316,0.7896389324960753
next_body0_ts15_tp15_mh40,pre,2017-05-24,036000,예림당,2017-05-31,2017-06-01,2017-06-29,0.3943268529769137,TRAIL,0.2632258064516129,0.47619047619047616
next_body0_ts15_tp15_mh40,pre,2017-11-13,215600,신라젠,2017-11-20,2017-11-21,2017-11-22,-0.083,EARLY_FAIL,0.4640198511166253,2.283095723014257
next_body0_ts15_tp15_mh40,pre,2018-03-13,007610,선도전기,2018-03-20,2018-03-21,2018-04-23,0.08985714285714286,TRAIL,0.527027027027027,0.6137071651090342
next_body0_ts15_tp15_mh40,pre,2018-05-02,263770,유에스티,2018-05-10,2018-05-11,2018-05-15,0.19144444444444444,TRAIL,0.5007256894049347,0.9138888888888889
next_body0_ts15_tp15_mh40,pre,2019-01-04,051630,진양화학,2019-01-11,2019-01-14,2019-01-17,-0.083,EARLY_FAIL,0.37589670014347204,2.0107991360691146
next_body0_ts15_tp15_mh40,pre,2019-04-04,037070,파세코,2019-04-11,2019-04-12,2019-04-16,-0.083,EARLY_FAIL,0.4665757162346521,0.6947976878612717
next_body0_ts15_tp15_mh40,pre,2020-01-17,066310,큐에스아이,2020-01-28,2020-01-29,2020-02-27,-0.16770588235294118,TRAIL,0.3588039867109635,0.6323210412147505
next_body0_ts15_tp15_mh40,pre,2020-11-02,217620,디딤,2020-11-09,2020-11-10,2020-11-12,-0.083,EARLY_FAIL,0.3783783783783784,0.5163934426229508
next_body0_ts15_tp15_mh40,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-07,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.3522727272727273,0.375
next_body0_ts15_tp15_mh40,pre,2021-05-27,011420,갤럭시아에스엠,2021-06-03,2021-06-04,2021-07-21,-0.253,STOP,0.37298387096774194,0.6756756756756757
