variant,tier,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,rel_ret60
no_regime,bull,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.5944537689954211
no_regime,bull,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,1.454384352972773
no_regime,bull,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,1.3485594456740644
no_regime,bear,pre,2015-07-06,004830,덕성,2015-07-14,2015-07-28,-0.123,STOP,3.653381959215123
no_regime,bear,pre,2015-08-03,016450,한세예스24홀딩스,2015-08-11,2015-09-23,-0.05245054945054945,MAX,0.5873679090173352
no_regime,bear,pre,2016-02-22,048530,인트론바이오,2016-03-02,2016-03-23,-0.123,STOP,0.2687129729034617
no_regime,bear,pre,2016-06-20,093240,형지엘리트,2016-06-28,2016-06-29,-0.0019648033126293996,TRAIL,2.2457522696068652
no_regime,mixed,pre,2016-08-23,014910,성문전자,2016-08-31,2016-09-12,0.13153815261044177,TRAIL,0.3820647199659678
no_regime,bull,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP,0.5425160660407056
no_regime,bull,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.30921075405707427
no_regime,mixed,pre,2017-02-09,083650,비에이치아이,2017-02-17,2017-04-03,0.01827659574468085,MAX,0.5436250957867398
no_regime,bear,pre,2017-09-27,068270,셀트리온,2017-10-13,2017-11-07,0.04803969754253308,TRAIL,0.3248630785717382
no_regime,bull,pre,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,TRAIL,0.3294064964899603
no_regime,bull,pre,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,TRAIL,0.6741028662141343
no_regime,bull,pre,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,STOP,1.0178429916204284
no_regime,bear,pre,2018-06-29,138360,에이씨티,2018-07-09,2018-07-11,-0.063,EARLY_FAIL,1.4200822390293342
no_regime,bear,pre,2018-11-13,138080,오이솔루션,2018-11-21,2019-02-21,0.45693031358885017,MAX,0.3928284036356553
no_regime,mixed,pre,2019-03-07,025540,한국단자,2019-03-15,2019-04-26,-0.02652941176470588,MAX,0.3506710100030742
no_regime,bull,pre,2020-01-17,066310,큐에스아이,2020-01-29,2020-02-27,-0.123,STOP,0.5549056088736649
no_regime,bull,pre,2020-04-07,270870,뉴트리,2020-04-16,2020-07-14,0.5187391304347826,MAX,0.5103336457433088
no_regime,bull,pre,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,TRAIL,0.6593421727402581
no_regime,bull,pre,2020-08-25,104460,디와이피엔에프,2020-09-02,2020-09-22,-0.123,STOP,0.3732371202060558
no_regime,bull,pre,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,TRAIL,0.2720909323061863
